soc,vehicle_speed_mps,motor_speed_rpm,maximum_motor_torque_nm,maximum_wheel_force_n
0.05,0.0,0.0,219.99999998719431,3471.8581905069577
0.05,0.35044998613496414,54.16666666666667,219.99999998719431,3471.8581905069577
0.05,0.7008999722699283,108.33333333333334,219.99999998719431,3471.8581905069577
0.05,1.0513499584048924,162.5,219.99999998719431,3471.8581905069577
0.05,1.4017999445398566,216.66666666666669,219.99999998719431,3471.8581905069577
0.05,1.7522499306748207,270.83333333333337,219.99999998719431,3471.8581905069577
0.05,2.102699916809785,325.0,219.99999998719431,3471.8581905069577
0.05,2.453149902944749,379.16666666666674,219.99999998719431,3471.8581905069577
0.05,2.803599889079713,433.33333333333337,219.99999998719431,3471.8581905069577
0.05,3.1540498752146773,487.50000000000006,219.99999998719431,3471.8581905069577
0.05,3.5044998613496414,541.6666666666667,219.99999998719431,3471.8581905069577
0.05,3.8549498474846056,595.8333333333334,219.99999998719431,3471.8581905069577
0.05,4.20539983361957,650.0,219.99999998719431,3471.8581905069577
0.05,4.555849819754534,704.1666666666667,219.99999998719431,3471.8581905069577
0.05,4.906299805889498,758.3333333333335,219.99999998719431,3471.8581905069577
0.05,5.256749792024462,812.5000000000002,214.61068705073558,3386.808507503601
0.05,5.607199778159426,866.6666666666667,204.387650283752,3225.476989624639
0.05,5.95764976429439,920.8333333333334,194.97144312714227,3076.8781898878724
0.05,6.308099750429355,975.0000000000001,186.2801557558123,2939.719475124427
0.05,6.658549736564319,1029.1666666666667,178.24110450805165,2812.853811851392
0.05,7.008999722699283,1083.3333333333335,170.78983514220454,2695.264036492321
0.05,7.359449708834247,1137.5,163.86919293901883,2586.048180500971
0.05,7.709899694969211,1191.6666666666667,157.42847272427753,2484.406056720903
0.05,8.060349681104174,1245.8333333333335,151.42265302478336,2389.6271734681277
0.05,8.41079966723914,1300.0,145.81171314115636,2301.079957138371
0.05,8.761249653374104,1354.166666666667,140.5600286810659,2218.2022130120777
0.05,9.111699639509068,1408.3333333333335,135.6358395598363,2140.4927296796172
0.05,9.462149625644031,1462.4999999999998,131.0107832972426,2067.5039139169985
0.05,9.812599611778996,1516.666666666667,126.65948669542558,1998.8353468841676
0.05,10.163049597913961,1570.8333333333337,122.55920932861045,1934.1281579743675
0.05,10.513499584048924,1625.0000000000005,118.68953212164342,1873.0601102179648
0.05,10.863949570183888,1679.1666666666667,115.0320858694613,1815.341316001071
0.05,11.214399556318853,1733.3333333333335,111.57031403738074,1760.710493775731
0.05,11.564849542453818,1787.5000000000005,108.28926576999947,1708.9317014974613
0.05,11.91529952858878,1841.6666666666667,105.17541489563882,1659.791480302936
0.05,12.265749514723744,1895.8333333333335,102.21650153282098,1613.0963548743107
0.05,12.61619950085871,1950.0000000000002,99.40139330225065,1568.6706432014105
0.05,12.966649486993674,2004.166666666667,96.71996362158097,1526.3545359303043
0.05,13.317099473128637,2058.3333333333335,94.1629846370779,1486.0024066993137
0.05,13.6675494592636,2112.5000000000005,91.72203312744386,1447.4813271909206
0.05,14.017999445398566,2166.666666666667,89.38940740772523,1410.6697557779034
0.05,14.36844943153353,2220.833333333334,87.15805409359746,1375.4563817778112
0.05,14.718899417668494,2275.0,85.02150317654014,1341.7391008630275
0.05,15.069349403803457,2329.166666666667,82.97381066717207,1309.4241099052863
0.05,15.419799389938422,2383.3333333333335,81.00950750056654,1278.4251006415814
0.05,15.770249376073387,2437.5000000000005,79.12355421693064,1248.6625444821
0.05,16.12069936220835,2491.666666666667,77.31130064930767,1220.0630563348566
0.05,16.471149348343314,2545.8333333333335,75.56844979873858,1192.5588245133454
0.05,16.82159933447828,2600.0,73.89102569199167,1166.0871034937904
0.05,17.172049320613244,2654.166666666667,72.27534456877038,1140.5897592154731
0.05,17.52249930674821,2708.333333333334,70.71798905264586,1116.0128614677328
0.05,17.87294929288317,2762.5,69.21578490873799,1092.306317098898
0.05,18.223399279018135,2816.666666666667,67.76578026008792,1069.423542026253
0.05,18.5738492651531,2870.833333333334,66.36522672488354,1047.3211635593175
0.05,18.924299251288062,2924.9999999999995,65.01156250014901,1025.9587534406155
0.05,19.274749237423027,2979.166666666667,63.70239704614505,1005.2985861475386
0.05,19.625199223557992,3033.333333333334,62.435497217811644,985.305420030233
0.05,19.975649209692957,3087.500000000001,61.2087747536134,965.9462998708991
0.05,20.326099195827922,3141.6666666666674,60.02027481445111,947.1903760143636
0.05,20.676549181962883,3195.8333333333335,58.86816570069641,929.0087420908189
0.05,21.02699916809785,3250.000000000001,57.750729414401576,911.3742860764181
0.05,21.377449154232814,3304.1666666666674,56.66635306668468,894.2615546917269
0.05,21.727899140367775,3358.3333333333335,55.61352110467851,877.6466307338568
0.05,22.07834912650274,3412.500000000001,54.59080814034678,861.5070199067685
0.05,22.428799112637705,3466.666666666667,53.59687240677886,845.8215475539222
0.05,22.77924909877267,3520.833333333334,52.63044981635176,830.5702648891013
0.05,23.129699084907635,3575.000000000001,51.6903484670911,815.7343623003411
0.05,23.480149071042597,3629.166666666667,50.775443610036746,801.2960899290517
0.05,23.83059905717756,3683.3333333333335,49.884673026390374,787.2386847159821
0.05,24.181049043312527,3737.5,49.017032840056345,773.5463043181996
0.05,24.531499029447488,3791.666666666667,48.17157353507355,760.2039642594921
0.05,24.881949015582453,3845.8333333333335,47.347396382829174,747.1974815476062
0.05,25.23239900171742,3900.0000000000005,46.54365016380325,734.5134229395308
0.05,25.582848987852383,3954.1666666666674,45.75952801737003,722.1390552276647
0.05,25.93329897398735,4008.333333333334,44.99426468857564,710.0623017907371
