parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
rear_toe_deg,rear static toe,alignment,deg,handwheel_torque_min,-1.0,0.0,1.0,-18.40816364842672,-18.78883108901611,-19.16910899034214,-0.76094534191542,-0.38047267095771,-4.049987667195891,4.049987667195891,2.0260304581264155,-2.0239572090694757,decreases_with_parameter,6
rear_toe_deg,rear static toe,alignment,deg,handwheel_torque_max,-1.0,0.0,1.0,-2.937170425385412,-1.915912670053007,2.083654928708342,5.020825354093754,2.510412677046877,262.05919677721243,262.05919677721243,-53.30398255073652,208.75521422647589,increases_with_parameter,3
rear_toe_deg,rear static toe,alignment,deg,roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-1.0,0.0,1.0,-0.34449544028963774,-0.4125041854252861,0.8019549626859107,1.1464504029755485,0.5732252014877742,277.92455046088173,277.92455046088173,16.486801234642574,294.4113516955243,increases_with_parameter,1
rear_toe_deg,rear static toe,alignment,deg,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-1.0,0.0,1.0,-1.4130564310233695,-1.6919195160863945,3.294516768591653,4.707573199615023,2.3537865998075116,278.2386014734427,278.2386014734427,16.482053809986628,294.7206552834293,increases_with_parameter,1
rear_toe_deg,rear static toe,alignment,deg,sideslip_gradient_velocity_slope_deg_per_g_per_mps,-1.0,0.0,1.0,-0.16651462466777633,-0.18903935708124467,-0.1733979821549166,-0.006883357487140279,-0.0034416787435701396,-3.6412298441017095,3.6412298441017095,11.91536659944719,8.27413675534548,decreases_with_parameter,2
rear_toe_deg,rear static toe,alignment,deg,understeer_gradient_velocity_slope_deg_per_g_per_mps,-1.0,0.0,1.0,0.05891499772582339,0.021970533913641836,0.9373053755266455,0.8783903778008221,0.43919518890041104,3998.0383783728453,3998.0383783728453,168.15460178344676,4166.192980156292,increases_with_parameter,1
rear_toe_deg,rear static toe,alignment,deg,roll_gradient_velocity_slope_deg_per_g_per_mps,-1.0,0.0,1.0,-0.006028382603350271,0.001918762930248763,-0.00010672790580590943,0.005921654697544362,0.002960827348772181,308.6183605171397,308.6183605171397,-414.18068945957305,-105.56232894243337,increases_with_parameter,2
rear_toe_deg,rear static toe,alignment,deg,handwheel_torque_peak_abs,-1.0,0.0,1.0,18.40816364842672,18.78883108901611,19.16910899034214,0.76094534191542,0.38047267095771,4.049987667195891,4.049987667195891,-2.0260304581264155,2.0239572090694757,increases_with_parameter,6
front_camber_deg,front static camber,alignment,deg,metric_target_velocity_mps,-2.5,0.0,0.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,7
front_camber_deg,front static camber,alignment,deg,metric_source_velocity_mps,-2.5,0.0,0.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,7
front_camber_deg,front static camber,alignment,deg,ay_min,-2.5,0.0,0.5,1.003831638464375,1.074217469796285,1.059526551985414,0.05569491352103895,0.01856497117367965,5.184696310291896,5.184696310291896,-6.552288834518572,-1.3675925242266767,increases_with_parameter,3
front_camber_deg,front static camber,alignment,deg,ay_max,-2.5,0.0,0.5,19.63936544392396,18.57517363325678,18.2850486920272,-1.3543167518967607,-0.4514389172989202,-7.291004534525627,7.291004534525627,5.7291082801070665,-1.5618962544185615,decreases_with_parameter,3
front_camber_deg,front static camber,alignment,deg,roadwheel_angle_gradient_rad_per_mps2,-2.5,0.0,0.5,0.007594029588957335,0.007556410350109951,0.007606821622832556,1.279203387522139e-05,4.264011291740463e-06,0.1692871784687455,0.1692871784687455,0.4978453671039232,0.6671325455726687,increases_with_parameter,9
front_camber_deg,front static camber,alignment,deg,roadwheel_angle_gradient_deg_per_g,-2.5,0.0,0.5,4.26838986513045,4.24724515191211,4.275579906610773,0.007190041480322762,0.0023966804934409205,0.16928717846874944,0.16928717846874944,0.4978453671039131,0.6671325455726625,increases_with_parameter,9
front_camber_deg,front static camber,alignment,deg,handwheel_angle_gradient_rad_per_mps2,-2.5,0.0,0.5,0.03151321384820406,0.0310275496973693,0.031236389282946902,-0.00027682456525715896,-9.227485508571966e-05,-0.8921895797676533,0.8921895797676533,1.5652674979872454,0.6730779182195921,decreases_with_parameter,8
front_camber_deg,front static camber,alignment,deg,handwheel_angle_gradient_deg_per_g,-2.5,0.0,0.5,17.712688768418555,17.43971064593472,17.557093487293898,-0.1555952811246577,-0.051865093708219234,-0.892189579767642,0.892189579767642,1.565267497987229,0.673077918219587,decreases_with_parameter,8
front_camber_deg,front static camber,alignment,deg,sideslip_gradient_rad_per_mps2,-2.5,0.0,0.5,0.0008874421237443952,0.0008893884524499339,0.0008904250295481278,2.982905803732591e-06,9.943019345775303e-07,0.3353884116120236,0.3353884116120236,-0.2188389898898906,0.11654942172213299,increases_with_parameter,16
front_camber_deg,front static camber,alignment,deg,sideslip_gradient_deg_per_g,-2.5,0.0,0.5,0.49880619011395066,0.4999001665889719,0.5004827973423193,0.0016766072283685984,0.0005588690761228662,0.3353884116120207,0.3353884116120207,-0.21883898988990153,0.11654942172211921,increases_with_parameter,16
front_camber_deg,front static camber,alignment,deg,understeer_gradient_rad_per_mps2,-2.5,0.0,0.5,0.0006778316327527948,0.0007014129953022076,0.0007456186865384916,6.778705378569685e-05,2.2595684595232282e-05,9.664356697082642,9.664356697082642,-3.361979704874544,6.302376992208097,increases_with_parameter,8
front_camber_deg,front static camber,alignment,deg,understeer_gradient_deg_per_g,-2.5,0.0,0.5,0.380990044562639,0.3942444634100774,0.41909123576508844,0.038101191202449425,0.012700397067483141,9.664356697082663,9.664356697082663,-3.3619797048745537,6.302376992208109,increases_with_parameter,8
front_camber_deg,front static camber,alignment,deg,roll_gradient_deg_per_g,-2.5,0.0,0.5,0.895797511706871,0.8936183079468291,0.892659215568622,-0.003138296138249008,-0.0010460987127496695,-0.3511897764784536,0.3511897764784536,0.24386292678458155,-0.10732684969387206,decreases_with_parameter,11
front_camber_deg,front static camber,alignment,deg,handwheel_torque_min,-2.5,0.0,0.5,-22.52487915167915,-18.78883108901611,-17.84730935314736,4.677569798531792,1.5591899328439307,24.89548059893031,24.89548059893031,-19.884409226751327,5.011071372178981,increases_with_parameter,2
