Event,Configuration,OptimumLap_s,OpenLAP_s,Raw_delta_s,Raw_delta_percent,Same_formula_delta_s,Same_formula_delta_percent,Speed_RMSE_mps,Speed_correlation,Constant_speed_delta_percent,Passed
FSAE Acceleration 75m,Open Circuit,4.152145414288595,4.253775200437397,0.10162978614880203,2.447645157105238,-0.0012954289120319373,-0.0304443574472464,0.15789958425935743,0.9999945233029418,,True
FSAE Autocross Nebraska 2013,Open Circuit,52.36420842530397,52.238323789110694,-0.12588463619327683,-0.24040206083292107,-0.08170176566945742,-0.15615773272876937,0.04743276217074416,0.9999692488638948,,True
FSAE Skidpad 9.125m Radius,Closed Circuit,4.799999994549272,4.800187743025538,0.00018774847626623625,0.003911426593321614,0.00018323374940276693,0.003817366193066337,0.0004559511767112667,,-0.0038172204758192725,True
FSAE Michigan Endurance 2014,Closed Circuit,58.76928709843806,58.459772032127205,-0.30951506631085834,-0.5266612572523182,0.026631026320515616,0.045575209311218105,0.09828270713826386,0.9999363377298478,,True
