candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,longitudinal_combined_source,lateral_relaxation_source,notes
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_8psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 8 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_8psi_MF52_UM14.tir,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_10psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_12psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_14psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_14psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_8psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_8psi_MF52_UM14.tir,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_10psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 7in 10 psi,round9_fitted_full_um14,Hoosier,43164,Hoosier 43164,20.5x7.0-13,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_12psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 7in 12 psi,round9_fitted_full_um14,Hoosier,43164,Hoosier 43164,20.5x7.0-13,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_12psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_14psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 7in 14 psi,round9_fitted_full_um14,Hoosier,43164,Hoosier 43164,20.5x7.0-13,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_14psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_8psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 7in 8 psi,round9_fitted_full_um14,Hoosier,43164,Hoosier 43164,20.5x7.0-13,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_8psi_MF52_UM14.tir,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_10psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 8in 10 psi,round9_fitted_full_um14,Hoosier,43164,Hoosier 43164,20.5x7.0-13,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
