candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,longitudinal_combined_source,lateral_relaxation_source,notes
Round_9_Goodyear_D2704_20p0x7p0_13_7in_8psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 8 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_8psi_MF52_UM14.tir,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Goodyear_D2704_20p0x7p0_13_8in_10psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 10 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_8in_12psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 12 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_12psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_8in_14psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 14 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_14psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_8in_8psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 8 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_8psi_MF52_UM14.tir,pressure_extrapolated_lateral_direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: pressure_extrapolated_lateral_direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 10 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 12 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 14 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 8 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 10 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 12 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,8.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_8in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 14 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,8.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_8in_14psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12."
Round_9_Hoosier_43075_16x7p5_10_r20_8in_8psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 8 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,8.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_8in_8psi_MF52_UM14.tir,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12."
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 10 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 12 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_12psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_14psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 14 psi,round9_fitted_full_um14,Hoosier,43100,Hoosier 43100,18.0x6.0-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_14psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
