candidate_id,label,status,variant_dir,elapsed_s,ay_max,roadwheel_angle_gradient_deg_per_g,handwheel_angle_gradient_deg_per_g,sideslip_gradient_deg_per_g,understeer_gradient_deg_per_g,roll_gradient_deg_per_g,handwheel_torque_peak_abs,n_cases,n_successful_cases,n_failed_cases,standard_sweep_max_ay_mps2,metric_target_velocity_mps,metric_source_velocity_mps,mean_curvature_error_pct,max_curvature_error_pct,mean_abs_rad_error,max_abs_rad_error,mean_abs_ay_command_error_mps2,p95_abs_ay_command_error_mps2,max_abs_ay_command_error_mps2,roadwheel_fit_nrmse,handwheel_fit_nrmse,steer_excess_fit_nrmse,roll_fit_nrmse,sideslip_fit_nrmse,standardsim_quality_status,standardsim_quality_flags
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_14psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 7in 14 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/44_Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_14psi_MF52_UM14,0.021939060068689287,15.4215908830378,4.326165417315363,17.746507441946495,0.7450677457429263,0.5025356095293672,1.0749092958790811,29.26892782597972,4.0,4.0,0.0,8.0,15.0,15.0,171.47345197058186,301.3605176632555,17.17400324286971,27.29906721018667,5.916322164086866,7.578236665820479,7.5837187460589615,0.001316919562172734,0.0012470559730486353,0.015314970504064726,0.0005163038451807095,0.00619847444345544,ok,ok
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_8psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 7in 8 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/45_Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_8psi_MF52_UM14,0.022388459066860378,16.01773993376823,4.217392992137514,17.30135706411603,0.8416026281706185,0.40357788334363065,1.0843855709439036,31.10470513883606,4.0,4.0,0.0,8.0,15.0,15.0,188.10066172124144,364.4710205615201,18.493105623454127,29.66036661604025,6.317253774167653,8.169902924683353,8.175834379103751,0.0018820879926372755,0.0018101794966247184,0.026015862986679884,0.0007563240986406409,0.006237832564423372,ok,ok
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_10psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 8in 10 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/46_Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_10psi_MF52_UM14,0.022539169061928988,16.08603146274984,4.230286398900347,17.356092944635254,0.8474690624125664,0.4085604541222528,1.0803757259969053,32.48578242395516,4.0,4.0,0.0,8.0,15.0,15.0,183.24032832911246,334.9804884018573,18.408621863384074,29.78053420739614,6.291100462726584,8.173821979812324,8.17813179031345,0.0014367514767453548,0.0013697436018759329,0.02223048488095544,0.0005882709746186527,0.006968796042673343,ok,ok
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_12psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 8in 12 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/47_Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_12psi_MF52_UM14,0.022149964002892375,15.62795818716004,4.303689969619888,17.654729987872408,0.7910158183663826,0.47978874135754296,1.0766237574769335,30.68083509846086,4.0,4.0,0.0,8.0,15.0,15.0,173.9764888368408,299.2670715622555,17.562641311564544,28.03772056028224,6.048355288754719,7.77695335166267,7.782211420307429,0.001529696236702335,0.0014578928585748407,0.01829360997180052,0.0005495816784698291,0.007511623115856106,ok,ok
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_14psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 8in 14 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/48_Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_14psi_MF52_UM14,0.02216168597806245,15.45890231239419,4.324141447677277,17.738667611340535,0.7550886902593805,0.4993605267041798,1.0741248186112367,29.83530467492657,4.0,4.0,0.0,8.0,15.0,15.0,170.08492970554738,286.69050119651956,17.224618422357803,27.40756416970106,5.916770937494903,7.603708364053417,7.60900183371352,0.0013254027395250415,0.0012546521659722667,0.015740402832826936,0.0005014244272350656,0.006478415915208839,ok,ok
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_8psi_MF52_UM14,Hoosier 43164 20.5x7.0-13 8in 8 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/49_Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_8psi_MF52_UM14,0.021870161988772452,16.04167532798635,4.230427417390688,17.354646143645144,0.8462301875605647,0.4175775292700288,1.0828866305769167,31.43360135805966,4.0,4.0,0.0,8.0,15.0,15.0,186.70439582261363,349.7178074790623,18.52757707775911,29.74221540940771,6.341270720114195,8.198162060831669,8.20398912666392,0.0020745879731755026,0.002000987609944273,0.028742906326263074,0.0007698647905923663,0.005029107957941679,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_6in_10psi_MF52_UM14,MRF ZTD1 18x6.0-10 6in 10 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/50_Round_9_MRF_ZTD1_18x6p0_10_6in_10psi_MF52_UM14,0.022152618039399385,14.85985563399426,4.707685047601807,19.29608815392607,0.5978595661042845,0.8225365560312281,0.9984601758642406,21.78833456297532,4.0,4.0,0.0,8.0,15.0,15.0,179.66520496677973,309.895970412526,17.286572374317,25.37310023389317,6.003880249632123,7.818347437058348,7.833532616599911,0.012945983261915404,0.012800449518956057,0.0712482826993261,0.0015564212401828182,0.010016927287497705,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_6in_12psi_MF52_UM14,MRF ZTD1 18x6.0-10 6in 12 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/51_Round_9_MRF_ZTD1_18x6p0_10_6in_12psi_MF52_UM14,0.02216373896226287,15.12357421552339,4.60507242651789,18.878610322202686,0.6176642521506926,0.8068693509134355,0.997701571676148,22.18607879174457,4.0,4.0,0.0,8.0,15.0,15.0,180.48823009044133,312.9818646202454,17.566431691002087,26.28722071874387,6.0829501006942435,7.898690534253875,7.91113646409704,0.010102030211445893,0.00997690501516393,0.06914583569002827,0.0012302378903743323,0.011785644875129822,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_6in_14psi_MF52_UM14,MRF ZTD1 18x6.0-10 6in 14 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/52_Round_9_MRF_ZTD1_18x6p0_10_6in_14psi_MF52_UM14,0.02221044700127095,15.03542763029792,4.653837746818667,19.078020177034308,0.6890281162857566,0.8502962996574506,0.9964199544391397,22.70673822828604,4.0,4.0,0.0,8.0,15.0,15.0,176.99317065806565,299.56821119165426,17.313818931538677,25.84462367744755,6.034419424910182,7.826492344299641,7.83858425390905,0.01043025479760015,0.010302771342054855,0.06753413659212616,0.001124326958760708,0.005715176692058708,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_6in_8psi_MF52_UM14,MRF ZTD1 18x6.0-10 6in 8 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/53_Round_9_MRF_ZTD1_18x6p0_10_6in_8psi_MF52_UM14,0.021781996940262616,15.35087579703686,4.503036597852509,18.459125953997766,0.3598932748694341,0.5613520862857863,0.9967664559548428,20.85584660441668,4.0,4.0,0.0,8.0,15.0,15.0,187.7243418281211,332.5080335389092,18.289187675169565,27.62056273943887,6.248550262223858,8.108703350750101,8.12192490930582,0.010719688723077733,0.01059034801952797,0.0702977300542752,0.0019568339697714904,0.010280505774186871,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_7in_10psi_MF52_UM14,MRF ZTD1 18x6.0-10 7in 10 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/54_Round_9_MRF_ZTD1_18x6p0_10_7in_10psi_MF52_UM14,0.0220737709896639,14.549154653186,4.929562637064483,20.20209818641198,0.7209770352234163,0.9896385338250087,0.9957206855620185,22.19849084824492,4.0,4.0,0.0,8.0,15.0,15.0,180.74944298892686,341.5945069168448,16.81887790292,24.61893701851527,5.901258808756025,7.726251668617547,7.74187418399009,0.01595227948934437,0.015790316253922916,0.07214533019754826,0.0015510488029073235,0.0064993470086102964,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_7in_12psi_MF52_UM14,MRF ZTD1 18x6.0-10 7in 12 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/55_Round_9_MRF_ZTD1_18x6p0_10_7in_12psi_MF52_UM14,0.021997809992171824,14.909264712844,4.756516268268665,19.49761875387778,0.7599193887619025,0.8866962359294164,0.9970997226373458,22.8292940606214,4.0,4.0,0.0,8.0,15.0,15.0,177.8549669117851,306.99046462292694,17.21828959013001,25.33542497738806,6.00837333913976,7.840248207105795,7.85456852890214,0.012742475738017766,0.012602790354226888,0.07070006331479445,0.0012257831589600698,0.005394012591019283,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_7in_14psi_MF52_UM14,MRF ZTD1 18x6.0-10 7in 14 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/56_Round_9_MRF_ZTD1_18x6p0_10_7in_14psi_MF52_UM14,0.022192363045178354,14.83410922113272,4.780829350812336,19.596869333472466,0.7584461764266024,0.9598180710899021,0.9943794781573845,22.82862869781399,4.0,4.0,0.0,8.0,15.0,15.0,174.88626933696747,299.9918056775483,16.976145876892424,25.00971292387316,5.954894484615699,7.74362118497922,7.757525765784351,0.012263896931942742,0.012124644177962768,0.07023703363300197,0.00116013405435069,0.004559992789850867,ok,ok
Round_9_MRF_ZTD1_18x6p0_10_7in_8psi_MF52_UM14,MRF ZTD1 18x6.0-10 7in 8 psi,ok,studies/DS-006-integrated-tire-design/work/standardsim_all/57_Round_9_MRF_ZTD1_18x6p0_10_7in_8psi_MF52_UM14,0.022452797973528504,14.50270777867332,4.992377772833179,20.456404070658508,0.6383866354593146,0.9517807751361622,0.9956378519152186,21.31154628088479,4.0,4.0,0.0,8.0,15.0,15.0,184.74526782120813,358.81551412979536,16.956505406990285,24.48220993249396,5.941766262363766,7.788534313340262,7.807768932734169,0.018007943923894362,0.017834431240321157,0.07317099530538942,0.0018899998827639662,0.006936654690360725,ok,ok
