candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,mu_y,mu_x,mu_x_to_y,ky_norm_per_rad,kx_norm,sigma_alpha_m,sigma_kappa_m,lateral_nrmse,longitudinal_nrmse,fx_combined_nrmse,fy_combined_nrmse,lateral_relaxation_sigma_rmse_m,longitudinal_combined_source,lateral_relaxation_source,notes
Round_9_Goodyear_D2704_20p0x7p0_13_7in_12psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 12 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_12psi_MF52_UM14.tir,14.0,667.135,185.3094,1697.5527,0.254,0.1778,0.1778,100000.0,100.0,2.72297322,2.30848008,0.8477792080525859,53.437433514330436,53.4028551,0.24735190825541778,0.25912486296659143,0.016657692316071112,0.039907028544067975,0.038055491828073024,0.05897497444342973,0.06503523307092401,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_7in_14psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 14 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_14psi_MF52_UM14.tir,14.0,671.66,183.0123,1669.4331,0.254,0.1778,0.1778,100000.0,100.0,2.7067505,2.21836615,0.8195680207688149,53.104401778093504,41.4430642,0.23078392391301886,0.25401691361663814,0.00986812255184263,0.019417140050952256,0.03526169260209246,0.051622043062780634,0.05268597234234006,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_7in_8psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 8 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_8psi_MF52_UM14.tir,14.0,651.47,185.5195,1730.0114,0.254,0.1778,0.1778,100000.0,100.0,3.4690355,2.27526154,0.6558772719391311,51.590293286887984,58.5716422,0.32767361419987906,0.2572537315441921,0.016606077868744618,0.03767685013629749,0.05431846376696225,0.0724813393583672,nan,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Goodyear_D2704_20p0x7p0_13_8in_10psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 10 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_10psi_MF52_UM14.tir,14.0,654.565,185.6908,1675.5128,0.254,0.1778,0.2032,100000.0,100.0,2.69609651,2.43598152,0.9035216324655975,59.20077963492546,52.2500871,0.2614781732032313,0.2661846543920761,0.01266367421387416,0.025778241476158915,0.042895362771527376,0.05579097600967302,0.07343144181356188,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_8in_12psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 12 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_12psi_MF52_UM14.tir,14.0,672.29,178.1916,1605.0112,0.254,0.1778,0.2032,100000.0,100.0,2.61132274,2.35937749,0.9035181495796265,50.632830443843176,48.8581318,0.2383877274921207,0.26196588338927196,0.013536564384812492,0.04043505531537088,0.040600347929495836,0.0497266119538758,0.0756892060431279,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_8in_14psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 14 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_14psi_MF52_UM14.tir,14.0,668.345,180.533,1633.007,0.254,0.1778,0.2032,100000.0,100.0,2.4683827,1.99040161,0.8063585966633132,49.170419683277395,36.8198203,0.21903909008463807,0.24061149773352086,0.008545643214342053,0.018201750686830238,0.03283375597274891,0.04429790837657128,0.047995645918102695,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D2704_20p0x7p0_13_8in_8psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 8 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_8psi_MF52_UM14.tir,14.0,654.565,185.6908,1675.5128,0.254,0.1778,0.2032,100000.0,100.0,2.81964779,2.30286187,0.816719690369555,64.68685094883011,57.1628541,0.28207408004525636,0.25880935131550076,nan,0.03685427657172405,0.050733910216133764,0.07738814985925777,nan,pressure_extrapolated_lateral_direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: pressure_extrapolated_lateral_direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 10 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14.tir,14.0,666.155,200.27905,1215.2919,0.2032,0.1524,0.1524,100000.0,100.0,2.4884087,1.95362186,0.785088824034412,36.46390091429097,40.3490102,0.34679051247488496,0.19070244468526634,0.011753396960024452,0.018686563875269173,0.05339555534457468,0.06101933230892392,0.01275219851228465,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 12 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14.tir,14.0,676.555,195.9375,1186.31625,0.2032,0.1524,0.1524,100000.0,100.0,2.40329771,2.11003533,0.8779750095962935,34.99150535187769,36.8580329,0.30981107698406385,0.19818960413709444,0.012881830477585085,0.03912068266469811,0.04656583035101348,0.05980188843306695,0.016293543335340707,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 14 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14.tir,14.0,675.39,198.11835,1168.0671,0.2032,0.1524,0.1524,100000.0,100.0,2.51479975,2.31272107,0.9196442261456403,34.889481861575284,31.7338965,0.25753572406572955,0.20749022190426344,0.010881417095740418,0.018856187755237074,0.03700306577552764,0.05871014963294662,0.012391538416820072,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
