candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,reference_unloaded_radius_m,architecture_unloaded_radius_m,architecture_radius_delta_m,architecture_radius_delta_mm,architecture_cg_height_m,architecture_cg_height_delta_pct,architecture_tire_width_m,architecture_rim_radius_m,architecture_rim_width_m,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2,fz_min_seen_n,fz_max_seen_n,fz_range_exceeded,fz_max_excess_pct
Round_9_Goodyear_D2704_20p0x7p0_13_7in_12psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 12 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_12psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.1778,1.5675,1.4400000000000002,1.368,5.720092500000001,1.6149999999999998,1.425,1.4220000000000002,6.1236525,1.7575,1.3950000000000002,1.5300000000000002,6.818910000000001,1.9,1.3350000000000002,1.692,7.7985975000000005,2.09,1.065,1.89,8.6142675,1.786,1.332,1.5804,7.015103999999999,139.5815865541403,1401.6382479528231,1,0.0
Round_9_Goodyear_D2704_20p0x7p0_13_7in_14psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 14 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_14psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.1778,1.5675,1.4400000000000002,1.368,5.792055000000001,1.6624999999999999,1.425,1.4400000000000002,6.1986075,1.7575,1.3950000000000002,1.5480000000000003,6.942742500000001,1.9,1.3350000000000002,1.692,7.913737500000002,2.09,1.065,1.89,8.7202875,1.7954999999999999,1.332,1.5876000000000001,7.113486,135.48671377676288,1404.133546334128,1,0.0
Round_9_Goodyear_D2704_20p0x7p0_13_7in_8psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 8 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_8psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.1778,1.8049999999999997,1.4400000000000002,1.368,6.516952500000001,1.8524999999999998,1.425,1.4220000000000002,7.014989999999999,1.9949999999999999,1.3950000000000002,1.5300000000000002,7.7980275,2.1849999999999996,1.3350000000000002,1.692,8.934892500000002,2.4225,1.065,1.89,9.865702500000001,2.052,1.332,1.5804,8.026113,122.34474617427716,1423.1801730259172,1,0.0
Round_9_Goodyear_D2704_20p0x7p0_13_8in_10psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 10 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_10psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.2032,1.5675,1.4400000000000002,1.4220000000000002,5.8412175,1.6149999999999998,1.425,1.4940000000000002,6.2563200000000005,1.7575,1.3950000000000002,1.6020000000000003,6.9626925,1.9,1.3350000000000002,1.764,7.958197500000001,2.09,1.065,1.962,8.7821325,1.786,1.332,1.6488000000000003,7.160112000000001,135.48671377676288,1415.1705154756075,1,0.0
Round_9_Goodyear_D2704_20p0x7p0_13_8in_12psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 12 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_12psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.2032,1.5199999999999998,1.4400000000000002,1.368,5.602387500000001,1.6149999999999998,1.425,1.4400000000000002,6.020340000000001,1.71,1.3950000000000002,1.5480000000000003,6.746947500000001,1.8524999999999998,1.3350000000000002,1.692,7.7002725000000005,2.0425,1.065,1.89,8.5062525,1.748,1.332,1.5876000000000001,6.91524,140.01026118931713,1400.428973477049,1,0.0
Round_9_Goodyear_D2704_20p0x7p0_13_8in_14psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 14 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_14psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.2032,1.4725,1.4400000000000002,1.26,5.264805000000001,1.5675,1.425,1.314,5.6713575,1.6624999999999999,1.3950000000000002,1.4220000000000002,6.3242925,1.8049999999999997,1.3350000000000002,1.5660000000000003,7.2285975,1.9949999999999999,1.065,1.746,7.926277499999999,1.7005,1.332,1.4616,6.483065999999999,140.01026118931713,1383.4028492393425,1,0.0
Round_9_Goodyear_D2704_20p0x7p0_13_8in_8psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 8in 8 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,8.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_8in_8psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.2032,1.6149999999999998,1.4400000000000002,1.368,5.885250000000001,1.6624999999999999,1.425,1.4400000000000002,6.308475,1.8049999999999997,1.3950000000000002,1.5480000000000003,7.01955,1.9474999999999998,1.3350000000000002,1.692,8.01192,2.1374999999999997,1.065,1.89,8.8365675,1.8334999999999997,1.332,1.5876000000000001,7.2123525,131.39184099938558,1406.6288447154323,1,0.0
Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 10 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1524,1.5675,1.4400000000000002,1.3860000000000001,6.0982875,1.6624999999999999,1.425,1.4580000000000002,6.572100000000001,1.7575,1.3950000000000002,1.5660000000000003,7.324642500000001,1.9474999999999998,1.3350000000000002,1.728,8.355345,2.1374999999999997,1.065,1.926,9.18726,1.8145,1.332,1.6128,7.5075270000000005,216.31310075987693,1336.6945931729038,1,9.989591239183262
Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 12 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1524,1.5675,1.4400000000000002,1.4400000000000002,6.150585,1.6149999999999998,1.425,1.5120000000000002,6.5796525,1.71,1.3950000000000002,1.6200000000000003,7.3054049999999995,1.9,1.3350000000000002,1.782,8.3163,2.09,1.065,1.998,9.139095,1.7765,1.332,1.6704,7.4982074999999995,192.7815112573566,1344.9463722057892,1,13.371655509716664
Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 14 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1524,1.6149999999999998,1.4400000000000002,1.3860000000000001,6.207015,1.6624999999999999,1.425,1.4580000000000002,6.6489075,1.7575,1.3950000000000002,1.5840000000000003,7.397175,1.9474999999999998,1.3350000000000002,1.746,8.4375675,2.1374999999999997,1.065,1.962,9.2914275,1.8239999999999998,1.332,1.6272000000000002,7.5964185,185.8509041194717,1340.8529574556344,1,14.79245990710931
