candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis
ampace_jp30_140s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,140,3,420,588.0,515.2,4.6368,4.44591,7.41212089177061,64.36737108404431,0.05,3.0,10.235,36.0,108.0,26.25,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_140s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,140,4,560,588.0,515.2,6.1824,5.92788,9.882827855694147,85.82316144539243,0.05,3.0,10.235,36.0,144.0,35.0,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_110s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,2,220,462.0,393.8,3.938,3.8813499999999994,5.548675390041782,48.18508131083743,0.072,5.0,8.188,40.0,80.0,19.799999999999997,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_110s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,3,330,462.0,393.8,5.907,5.822025,8.323013085062673,72.27762196625615,0.072,5.0,8.188,40.0,120.0,29.699999999999996,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,4,440,462.0,393.8,7.876,7.762699999999999,11.097350780083564,96.37016262167487,0.072,5.0,8.188,40.0,160.0,39.599999999999994,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_115s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,115,2,230,483.0,411.7,4.117,4.0577749999999995,5.800887907770954,50.37531227951186,0.072,5.0,8.188,40.0,80.0,20.7,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_115s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,115,3,345,483.0,411.7,6.1755,6.086662499999999,8.701331861656431,75.56296841926779,0.072,5.0,8.188,40.0,120.0,31.05,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_120s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,120,2,240,504.0,429.6,4.296,4.2341999999999995,6.053100425500126,52.56554324818629,0.072,5.0,8.188,40.0,80.0,21.599999999999998,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_120s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,120,3,360,504.0,429.6,6.444,6.351299999999999,9.079650638250188,78.84831487227943,0.072,5.0,8.188,40.0,120.0,32.4,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_125s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,125,2,250,525.0,447.5,4.475,4.410625,6.305312943229298,54.75577421686072,0.072,5.0,8.188,40.0,80.0,22.5,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
