parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,general.n_cases,19701.768937499997,26269.02525,32836.2815625,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,general.n_successful_cases,19701.768937499997,26269.02525,32836.2815625,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,general.n_failed_cases,19701.768937499997,26269.02525,32836.2815625,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,general.representative_testVel_mps,19701.768937499997,26269.02525,32836.2815625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,general.metric_target_velocity_mps,19701.768937499997,26269.02525,32836.2815625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,general.n_velocity_groups,19701.768937499997,26269.02525,32836.2815625,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,step.ay_peak,19701.768937499997,26269.02525,32836.2815625,3.418822417349821,3.41297131998261,3.407019118764088,-0.011803298585733035,-8.986476257418826e-07,-0.34583644218238485,0.34583644218238485,0.17143705055338185,-0.17439939162900298,decreases_with_parameter,14
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,step.ay_ss,19701.768937499997,26269.02525,32836.2815625,2.8335553787264107,2.8316339996581834,2.8302812091243044,-0.003274169602106358,-2.492798701852371e-07,-0.11562827690660568,0.11562827690660568,0.06785407536635207,-0.04777420154025361,decreases_with_parameter,12
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,step.ay_rise_time_s,19701.768937499997,26269.02525,32836.2815625,0.069592481973894,0.06896101378949093,0.06823223382473009,-0.0013602481491639118,-1.0356289479480488e-07,-1.9724886198978733,1.9724886198978733,0.9156886619020421,-1.0567999579958312,decreases_with_parameter,10
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,step.ay_peak_response_time_s,19701.768937499997,26269.02525,32836.2815625,0.14573634091824994,0.1455492081501799,0.14442045643521118,-0.001315884483038765,-1.0018525396474425e-07,-0.9040821999395663,0.9040821999395663,0.12857010384896378,-0.7755120960906025,decreases_with_parameter,6
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,step.ay_gain_dc,19701.768937499997,26269.02525,32836.2815625,33.603188560560895,33.5688993182276,33.55068767676249,-0.05250088379840179,-3.997170302190925e-06,-0.15639739420915208,0.15639739420915208,0.10214586426631919,-0.054251529942832895,decreases_with_parameter,9
