soc,vehicle_speed_mps,motor_speed_rpm,maximum_motor_torque_nm,maximum_wheel_force_n
0.05,0.0,0.0,219.99999998719431,3471.8581905069577
0.05,0.35044998613496414,54.16666666666667,219.99999998719431,3471.8581905069577
0.05,0.7008999722699283,108.33333333333334,219.99999998719431,3471.8581905069577
0.05,1.0513499584048924,162.5,219.99999998719431,3471.8581905069577
0.05,1.4017999445398566,216.66666666666669,219.99999998719431,3471.8581905069577
0.05,1.7522499306748207,270.83333333333337,219.99999998719431,3471.8581905069577
0.05,2.102699916809785,325.0,219.99999998719431,3471.8581905069577
0.05,2.453149902944749,379.16666666666674,219.99999998719431,3471.8581905069577
0.05,2.803599889079713,433.33333333333337,219.99999998719431,3471.8581905069577
0.05,3.1540498752146773,487.50000000000006,219.99999998719431,3471.8581905069577
0.05,3.5044998613496414,541.6666666666667,219.99999998719431,3471.8581905069577
0.05,3.8549498474846056,595.8333333333334,219.99999998719431,3471.8581905069577
0.05,4.20539983361957,650.0,219.99999998719431,3471.8581905069577
0.05,4.555849819754534,704.1666666666667,212.78793113073334,3358.0432799103137
0.05,4.906299805889498,758.3333333333335,201.588601419935,3181.304713606285
0.05,5.256749792024462,812.5000000000002,191.35296809719875,3019.774407294302
0.05,5.607199778159426,866.6666666666667,181.9760339159984,2871.7953812000287
0.05,5.95764976429439,920.8333333333334,173.36522154393606,2735.9066563700135
0.05,6.308099750429355,975.0000000000001,165.43903524056077,2610.8221343770156
0.05,6.658549736564319,1029.1666666666667,158.12578201759607,2495.4104157275647
0.05,7.008999722699283,1083.3333333333335,151.3623880862724,2388.676122011847
0.05,7.359449708834247,1137.5,145.0933272007387,2289.7429839050565
0.05,7.709899694969211,1191.6666666666667,139.26966488012113,2197.838757869785
0.05,8.060349681104174,1245.8333333333335,133.84821514133364,2112.2819184101177
0.05,8.41079966723914,1300.0,128.79080195678398,2032.470003007487
0.05,8.761249653374104,1354.166666666667,124.06361596076749,1957.869460192601
0.05,9.111699639509068,1408.3333333333335,119.63665592949837,1888.006835444859
0.05,9.462149625644031,1462.4999999999998,115.48324502073228,1822.4611368858593
0.05,9.812599611778996,1516.666666666667,111.57961221993901,1760.857230008793
0.05,10.163049597913961,1570.8333333333337,107.90453038760461,1702.8601256400832
0.05,10.513499584048924,1625.0000000000005,104.4390032114461,1648.1700396779434
0.05,10.863949570183888,1679.1666666666667,101.16599417407997,1596.5181158841056
0.05,11.214399556318853,1733.3333333333335,98.07019194005989,1547.6627234159328
0.05,11.564849542453818,1787.5000000000005,95.13780665583909,1501.3862422007662
0.05,11.91529952858878,1841.6666666666667,92.35639318008907,1457.4922733028973
