soc,vehicle_speed_mps,motor_speed_rpm,maximum_motor_torque_nm,maximum_wheel_force_n
0.05,0.0,0.0,219.99999998719431,3471.8581905069577
0.05,0.35044998613496414,54.16666666666667,219.99999998719431,3471.8581905069577
0.05,0.7008999722699283,108.33333333333334,219.99999998719431,3471.8581905069577
0.05,1.0513499584048924,162.5,219.99999998719431,3471.8581905069577
0.05,1.4017999445398566,216.66666666666669,219.99999998719431,3471.8581905069577
0.05,1.7522499306748207,270.83333333333337,219.99999998719431,3471.8581905069577
0.05,2.102699916809785,325.0,219.99999998719431,3471.8581905069577
0.05,2.453149902944749,379.16666666666674,219.99999998719431,3471.8581905069577
0.05,2.803599889079713,433.33333333333337,219.99999998719431,3471.8581905069577
0.05,3.1540498752146773,487.50000000000006,219.99999998719431,3471.8581905069577
0.05,3.5044998613496414,541.6666666666667,219.99999998719431,3471.8581905069577
0.05,3.8549498474846056,595.8333333333334,219.99999998719431,3471.8581905069577
0.05,4.20539983361957,650.0,219.99999998719431,3471.8581905069577
0.05,4.555849819754534,704.1666666666667,219.99999998719431,3471.8581905069577
0.05,4.906299805889498,758.3333333333335,219.99999998719431,3471.8581905069577
0.05,5.256749792024462,812.5000000000002,213.78896326292306,3373.8407417617045
0.05,5.607199778159426,866.6666666666667,203.59377057640813,3212.948636150187
0.05,5.95764976429439,920.8333333333334,194.20427219942212,3064.771332301149
0.05,6.308099750429355,975.0000000000001,185.53853246499784,2928.0157892306324
0.05,6.658549736564319,1029.1666666666667,177.52386681502685,2801.5349593095125
0.05,7.008999722699283,1083.3333333333335,170.09583832114004,2684.311952185326
0.05,7.359449708834247,1137.5,163.19732243428007,2575.4452754329113
0.05,7.709899694969211,1191.6666666666667,156.77765283267945,2474.1353550330796
0.05,8.060349681104174,1245.8333333333335,150.79185246606357,2379.672400347695
0.05,8.41079966723914,1300.0,145.19994822097942,2291.425588734259
0.05,8.761249653374104,1354.166666666667,139.9663647892885,2208.833500079371
0.05,9.111699639509068,1408.3333333333335,135.05939128575847,2131.3956993983575
0.05,9.462149625644031,1462.4999999999998,130.45071368687786,2058.6653581710348
0.05,9.812599611778996,1516.666666666667,126.11500597093254,1990.242802052284
0.05,10.163049597913961,1570.8333333333337,122.02957299305126,1925.7698750211475
0.05,10.513499584048924,1625.0000000000005,118.17403898690827,1864.9250235721258
0.05,10.863949570183888,1679.1666666666667,114.53007584088482,1807.4190085941102
0.05,11.214399556318853,1733.3333333333335,111.08116587274708,1752.9911616763961
0.05,11.564849542453818,1787.5000000000005,107.81239483854733,1701.4061185462197
0.05,11.91529952858878,1841.6666666666667,104.71027092426084,1652.4509625443561
0.05,12.265749514723744,1895.8333333333335,101.76256650593132,1605.9327274145078
0.05,12.61619950085871,1950.0000000000002,98.95817941287532,1561.676207873848
0.05,12.966649486993674,2004.166666666667,96.28701128647663,1519.5220399720376
0.05,13.317099473128637,2058.3333333333335,93.73986069113016,1479.3250142564784
0.05,13.6675494592636,2112.5000000000005,91.30832905648276,1440.952591430484
0.05,14.017999445398566,2166.666666666667,88.98473772220314,1404.2835932223966
0.05,14.36844943153353,2220.833333333334,86.76205484312959,1369.2070488630318
0.05,14.718899417668494,2275.0,84.63383050286211,1335.6211711020135
0.05,15.069349403803457,2329.166666666667,82.59413945954293,1303.4324526689973
0.05,15.419799389938422,2383.3333333333335,80.63753020484,1272.554862364645
0.05,15.770249376073387,2437.5000000000005,78.7589797086548,1242.9091308790034
0.05,16.12069936220835,2491.666666666667,76.953853094019,1214.422114414048
0.05,16.471149348343314,2545.8333333333335,75.21786772995256,1187.026228026843
0.05,16.82159933447828,2600.0,73.54706108919345,1160.658938386795
0.05,17.172049320613244,2654.166666666667,71.93776197382249,1135.2623096822429
0.05,17.52249930674821,2708.333333333334,70.38656481425278,1110.7825980283487
0.05,17.87294929288317,2762.5,68.89030645252205,1087.1698850802045
0.05,18.223399279018135,2816.666666666667,67.44604535866529,1064.3777500427998
0.05,18.5738492651531,2870.833333333334,66.05104290880263,1042.3629742172777
0.05,18.924299251288062,2924.9999999999995,64.70274646882899,1021.0852740417037
0.05,19.274749237423027,2979.166666666667,63.398774104425684,1000.5070597971041
0.05,19.625199223557992,3033.333333333334,62.13690077653155,980.5932177558016
0.05,19.975649209692957,3087.500000000001,60.915045842994004,961.3109129427992
0.05,20.326099195827922,3141.6666666666674,59.73126164870337,942.6294090747089
0.05,20.676549181962883,3195.8333333333335,58.58372328104451,924.5199068887576
0.05,21.02699916809785,3250.000000000001,57.47071913210675,906.9553952033816
0.05,21.377449154232814,3304.1666666666674,56.39064234448597,889.9105159229456
0.05,21.727899140367775,3358.3333333333335,55.341983063844964,873.3614417740523
0.05,22.07834912650274,3412.500000000001,54.323321293340996,857.2857635400233
0.05,22.428799112637705,3466.666666666667,53.33332036272623,841.6623869956392
0.05,22.77924909877267,3520.833333333334,52.37072099931538,826.4714393400516
0.05,23.129699084907635,3575.000000000001,51.43433588556945,811.694183309066
0.05,23.480149071042597,3629.166666666667,50.523044562432915,797.3129367438222
0.05,23.83059905717756,3683.3333333333335,49.6357889729552,783.3110022639104
0.05,24.181049043312527,3737.5,48.77156908274628,769.6725981530218
0.05,24.531499029447488,3791.666666666667,47.92943907668814,756.3827983385908
0.05,24.881949015582453,3845.8333333333335,47.10850377334282,743.4274758069467
0.05,25.23239900171742,3900.0000000000005,46.307915231445804,730.7932490497969
0.05,25.582848987852383,3954.1666666666674,45.52686981740408,718.4674357859038
0.05,25.93329897398735,4008.333333333334,44.76460525998846,706.4380064806736
