brand,cornering_runs,donor_lateral_mu_nominal,donor_longitudinal_mu_nominal,donor_tire_key,drive_runs,fx_combined_nrmse,fx_combined_points,fx_combined_rmse_n,fy_combined_nrmse,fy_combined_points,fy_combined_rmse_n,fzmax_n,fzmin_n,fznom_n,generated_tir,lateral_mu_nominal,lateral_nrmse,lateral_points,lateral_rmse_n,longitudinal_combined_source,longitudinal_mu_scale,longitudinal_nrmse,longitudinal_points,longitudinal_rmse_n,longitudinal_stiffness_scale,model,pressure_psi,rim_width_in,sha256,size,use_mode
Hoosier,"11,12",2.613129166862291,2.2942621025998506,Hoosier_43100_18p0x6p0_10_r20_6in,,0.04656583035101348,4500,190.33445553706719,0.05980188843306695,4500,85.04309940384006,1186.3162499999999,195.9375,676.5550000000001,Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM4.tir,2.4032977109264233,0.012881830477585085,5000,59.01478282079289,scaled_18in_hoosier_long_combined,0.9197010776976545,0.03912068266469811,5000,197.2109799758897,0.8709178211511913,43070,12.0,6.0,00a4d3daa0aac62048c7095c31aef5e72f42581be08dee653515fa313975d699,16x6.0-10 R20,4
Hoosier,"11,12",2.540163972859908,2.3360471323541563,Hoosier_43100_18p0x6p0_10_r20_6in,,0.03700306577552764,4500,143.88762386777694,0.05871014963294662,4500,78.80965742501036,1168.0671,198.11835,675.39,Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM4.tir,2.5147997463014717,0.010881417095740418,5000,48.81180096027834,scaled_18in_hoosier_long_combined,0.9900147286437264,0.018856187755237074,5000,85.57602683944958,0.8729420733746862,43070,14.0,6.0,d156921b18315c4b2a5a1f082cf51cbe9fa236bb07dd480e0df5847af564cb45,16x6.0-10 R20,4
Hoosier,"14,15",2.7916472748751286,2.3874547169187004,Hoosier_43100_18p0x6p0_10_r20_7in,,0.04625253861541251,4500,197.45463123881987,0.06153047346657869,4500,96.08232630223804,1178.3464,200.5104,666.5,Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM4.tir,2.4158942004743396,0.010362718937866132,5000,48.01907789585222,scaled_18in_hoosier_long_combined,0.8654009488295412,0.02318021397199719,5000,116.59216475934709,0.9394569487184333,43070,8.0,7.0,11c4aa47350813e9ff81e4094690b2dc4737a1c4c23920db3f578caaf1ce8dae,16x6.0-10 R20,4
Hoosier,"14,15",2.7174027582650844,2.309294295909162,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03724784575578408,4500,154.0151862194477,0.054905512639615066,4500,78.91412850980852,1163.6906999999999,197.7866,672.39,Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM4.tir,2.4253231345388513,0.009854908669972039,5000,47.697521444856584,scaled_18in_hoosier_long_combined,0.8925151515218488,0.01923412980298334,5000,95.08286280390897,0.9021768437807703,43070,10.0,7.0,38d6b99c27776831548b34c0d74cae9d3aca27a548975c573a4d983557c881ed,16x6.0-10 R20,4
Hoosier,"14,15",2.6000521127349496,2.2576656100690147,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03922791540373015,4500,155.23655117135053,0.05835332751872972,4500,82.93679663244906,1153.53675,188.16549999999998,669.905,Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM4.tir,2.3538356122868094,0.012395458024810471,5000,57.27106938939849,scaled_18in_hoosier_long_combined,0.9053032440226172,0.03076707396434499,5000,146.86653526757894,0.8863219833936706,43070,12.0,7.0,468233cec47736b78e291430be7f92e7e913bfc16108ed69945078adc3e28d81,16x6.0-10 R20,4
Hoosier,"14,15",2.5935846481375235,2.3050621665864384,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03165798111653311,4500,116.138332610388,0.05264912672997758,4500,69.38483626645238,1151.7179,192.13604999999998,678.615,Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM4.tir,2.416275372441329,0.009918743401914062,5000,44.84647747375002,scaled_18in_hoosier_long_combined,0.9316354390732835,0.019773287231635624,5000,85.38833083590387,0.8880748869016973,43070,14.0,7.0,f0d13a9657e5b5e7ea31dc3e614a7d2851a034fa5bd75bd2260cc096ee6b921e,16x6.0-10 R20,4
Hoosier,"28,29",nan,nan,,"69,70",0.06712611850050197,4500,300.0206229577639,0.0874824963826706,4500,126.74805257657208,1332.0551,189.4681,635.355,Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_8psi_MF52_UM4.tir,2.7821635082677405,0.015056651933072254,5000,62.919617912060424,direct_drive_brake,1.0,0.024614356569811275,5000,136.42868959859473,1.0,43100,8.0,6.0,802e8ac39172337beeb5daf8bc451e76790f2da8fb3a5198e96e669666f29172,18.0x6.0-10 R20,4
Hoosier,"28,29",nan,nan,,"69,70",0.05339555534457468,4500,229.94598345586314,0.06101933230892392,4500,91.57628844592529,1345.21,189.0716,653.56,Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_10psi_MF52_UM4.tir,2.859239616790933,0.013472385271625562,5000,62.99770881800797,direct_drive_brake,1.0,0.018686563875269173,5000,91.06572692729195,1.0,43100,10.0,6.0,982d372c699817d88d515b3825858917d52215f16f5f3896e417370a74b11daa,18.0x6.0-10 R20,4
Hoosier,"28,29",nan,nan,,"69,70",0.04656583035101348,4500,190.33445553706719,0.05980188843306695,4500,85.04309940384006,1240.536,182.67,660.69,Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_12psi_MF52_UM4.tir,2.613129166862291,0.012992899675357425,5000,61.45252409098785,direct_drive_brake,1.0,0.03912068266469811,5000,197.2109799758897,1.0,43100,12.0,6.0,07402a39e716e79e55a7d309eb2b479e46ae4a0db3ce3b811c7e311661d81823,18.0x6.0-10 R20,4
Hoosier,"28,29",nan,nan,,"69,70",0.03700306577552764,4500,143.88762386777694,0.05871014963294662,4500,78.80965742501036,1226.3996000000004,184.5186,677.4549999999999,Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_14psi_MF52_UM4.tir,2.540163972859908,0.01114559925864279,5000,53.30986936925732,direct_drive_brake,1.0,0.018856187755237074,5000,85.57602683944958,1.0,43100,14.0,6.0,236a48a4bbfc1e8778acf9c51ce60a844a2cc1c3b8094b7dfd02fa0eb9679b52,18.0x6.0-10 R20,4
