generated_tir,brand,model,size,rim_width_in,pressure_psi,use_mode,cornering_runs,drive_runs,longitudinal_combined_source,donor_tire_key,lateral_points,longitudinal_points,fx_combined_points,fy_combined_points,lateral_rmse_n,lateral_nrmse,longitudinal_rmse_n,longitudinal_nrmse,fx_combined_rmse_n,fx_combined_nrmse,fy_combined_rmse_n,fy_combined_nrmse,lateral_mu_nominal,donor_lateral_mu_nominal,donor_longitudinal_mu_nominal,longitudinal_mu_scale,longitudinal_stiffness_scale,fzmin_n,fzmax_n,fznom_n,sha256
Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,6.0,12.0,4,"11,12",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_6in,5000,5000,4500,4500,59.01478282079289,0.012881830477585085,197.2109799758897,0.03912068266469811,190.33445553706719,0.04656583035101348,85.04309940384006,0.05980188843306695,2.4032977109264233,2.613129166862291,2.2942621025998506,0.9197010776976545,0.8709178211511913,195.9375,1186.3162499999999,676.5550000000001,00a4d3daa0aac62048c7095c31aef5e72f42581be08dee653515fa313975d699
Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,6.0,14.0,4,"11,12",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_6in,5000,5000,4500,4500,48.81180096027834,0.010881417095740418,85.57602683944958,0.018856187755237074,143.88762386777694,0.03700306577552764,78.80965742501036,0.05871014963294662,2.5147997463014717,2.540163972859908,2.3360471323541563,0.9900147286437264,0.8729420733746862,198.11835,1168.0671,675.39,d156921b18315c4b2a5a1f082cf51cbe9fa236bb07dd480e0df5847af564cb45
Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,7.0,8.0,4,"14,15",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,48.01907789585222,0.010362718937866132,116.59216475934709,0.02318021397199719,197.45463123881987,0.04625253861541251,96.08232630223804,0.06153047346657869,2.4158942004743396,2.7916472748751286,2.3874547169187004,0.8654009488295412,0.9394569487184333,200.5104,1178.3464,666.5,11c4aa47350813e9ff81e4094690b2dc4737a1c4c23920db3f578caaf1ce8dae
Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,7.0,10.0,4,"14,15",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,47.697521444856584,0.009854908669972039,95.08286280390897,0.01923412980298334,154.0151862194477,0.03724784575578408,78.91412850980852,0.054905512639615066,2.4253231345388513,2.7174027582650844,2.309294295909162,0.8925151515218488,0.9021768437807703,197.7866,1163.6906999999999,672.39,38d6b99c27776831548b34c0d74cae9d3aca27a548975c573a4d983557c881ed
Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,7.0,12.0,4,"14,15",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,57.27106938939849,0.012395458024810471,146.86653526757894,0.03076707396434499,155.23655117135053,0.03922791540373015,82.93679663244906,0.05835332751872972,2.3538356122868094,2.6000521127349496,2.2576656100690147,0.9053032440226172,0.8863219833936706,188.16549999999998,1153.53675,669.905,468233cec47736b78e291430be7f92e7e913bfc16108ed69945078adc3e28d81
Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,7.0,14.0,4,"14,15",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,44.84647747375002,0.009918743401914062,85.38833083590387,0.019773287231635624,116.138332610388,0.03165798111653311,69.38483626645238,0.05264912672997758,2.416275372441329,2.5935846481375235,2.3050621665864384,0.9316354390732835,0.8880748869016973,192.13604999999998,1151.7179,678.615,f0d13a9657e5b5e7ea31dc3e614a7d2851a034fa5bd75bd2260cc096ee6b921e
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_8psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,6.0,8.0,4,"28,29","69,70",direct_drive_brake,,5000,5000,4500,4500,62.919617912060424,0.015056651933072254,136.42868959859473,0.024614356569811275,300.0206229577639,0.06712611850050197,126.74805257657208,0.0874824963826706,2.7821635082677405,nan,nan,1.0,1.0,189.4681,1332.0551,635.355,802e8ac39172337beeb5daf8bc451e76790f2da8fb3a5198e96e669666f29172
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_10psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,6.0,10.0,4,"28,29","69,70",direct_drive_brake,,5000,5000,4500,4500,62.99770881800797,0.013472385271625562,91.06572692729195,0.018686563875269173,229.94598345586314,0.05339555534457468,91.57628844592529,0.06101933230892392,2.859239616790933,nan,nan,1.0,1.0,189.0716,1345.21,653.56,982d372c699817d88d515b3825858917d52215f16f5f3896e417370a74b11daa
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_12psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,6.0,12.0,4,"28,29","69,70",direct_drive_brake,,5000,5000,4500,4500,61.45252409098785,0.012992899675357425,197.2109799758897,0.03912068266469811,190.33445553706719,0.04656583035101348,85.04309940384006,0.05980188843306695,2.613129166862291,nan,nan,1.0,1.0,182.67,1240.536,660.69,07402a39e716e79e55a7d309eb2b479e46ae4a0db3ce3b811c7e311661d81823
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_14psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,6.0,14.0,4,"28,29","69,70",direct_drive_brake,,5000,5000,4500,4500,53.30986936925732,0.01114559925864279,85.57602683944958,0.018856187755237074,143.88762386777694,0.03700306577552764,78.80965742501036,0.05871014963294662,2.540163972859908,nan,nan,1.0,1.0,184.5186,1226.3996000000004,677.4549999999999,236a48a4bbfc1e8778acf9c51ce60a844a2cc1c3b8094b7dfd02fa0eb9679b52
