"case","power_limit_kw","completed","vehicle_mass_kg","terminal_energy_kwh","distance_km","energy_kwh_per_km","equivalent_22km_energy_kwh","elapsed_time_s","final_soc","completed_laps","minimum_terminal_voltage_v"
"130s4p","22.6","False","253.43515114000002","5.382332646244582","21.6988680014231","0.248046702062595","5.4570274453771","1268.6958272866586","0.05","20","400.16973286590957"
"130s5p","22.6","True","261.07265114","5.618718472668784","22.469344233","0.2500615244666","5.50135353826519","1319.0182749868015","0.22789404084390658","21","442.54255889503014"
"130s6p","22.6","True","268.71015114","5.660708448506918","22.469344233","0.251930291770296","5.54246641894652","1325.3666121081083","0.36297704995001817","21","459.53952999513797"
"130s7p","22.6","True","276.34765114","5.70214260131542","22.469344233","0.253774322124669","5.58303508674272","1331.6092008778082","0.4565886266322524","21","470.0399929268697"
