candidate_id,label,source,compound,tire_size,rim,pressure_psi,is_candidate,path,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2,fz_min_seen_n,fz_max_seen_n,fz_range_exceeded,fz_max_excess_pct
current_hybrid_reference,current hybrid reference,current_reference,R20_hybrid,16x7p5_10,7in,12.0,0,vehicles/current/tires/16x7p5_10_12psi.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.773501587301588,1.6514285714285715,1.4155555555555555,1.7566666666666668,7.201955555555555,1.7485714285714287,1.3844444444444444,1.8888888888888893,7.98012380952381,1.8942857142857144,1.3377777777777777,2.058888888888889,9.076326984126984,2.0885714285714285,1.0733333333333333,2.285555555555556,9.935231746031747,1.7971428571428572,1.3315555555555554,1.9342222222222225,8.193427936507936,185.43673411613923,1397.444329894622,0,0.0
Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2,LC0 16x6_10 on 6in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.841717460317461,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.276539682539683,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.108892063492064,1.942857142857143,1.3377777777777777,2.058888888888889,9.242387301587302,2.137142857142857,1.0733333333333333,2.285555555555556,10.131298412698412,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.320166984126985,181.84308597056935,1398.713874012077,1,27.97016230668591
Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2,LC0 16x6_10 on 6in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.461403174603175,1.5542857142857143,1.4155555555555555,1.7566666666666668,6.87388253968254,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.621126984126985,1.7971428571428572,1.3377777777777777,2.058888888888889,8.680631746031747,1.9914285714285715,1.0733333333333333,2.285555555555556,9.57035238095238,1.7097142857142855,1.3315555555555554,1.9342222222222225,7.8414793650793655,189.30097306378394,1394.3501584067421,1,27.687743443840855
Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2,LC0 16x6_10 on 6in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.361076190476192,1.5542857142857143,1.4155555555555555,1.7566666666666668,6.773609523809525,1.6514285714285715,1.3844444444444444,1.8888888888888893,7.5103841269841265,1.7971428571428572,1.3377777777777777,2.058888888888889,8.574422222222221,1.9914285714285715,1.0733333333333333,2.285555555555556,9.405209523809525,1.7,1.3315555555555554,1.9342222222222225,7.724940317460318,192.89462120935383,1392.5255310363177,1,27.40398271146548
Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2,LC0 16x6_10 on 6in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.879495238095239,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.354955555555555,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.142730158730158,1.942857142857143,1.3377777777777777,2.058888888888889,9.275523809523808,2.137142857142857,1.0733333333333333,2.285555555555556,10.156879365079364,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.361916825396825,181.84308597056935,1398.713874012077,1,28.08735110000705
Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2,LC0 16x6_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.883488888888889,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.357977777777779,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.157949206349205,1.942857142857143,1.3377777777777777,2.058888888888889,9.297380952380953,2.137142857142857,1.0733333333333333,2.285555555555556,10.234323809523811,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.386224126984127,181.84308597056935,1398.713874012077,1,28.20475472154693
Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2,LC0 16x6_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5542857142857143,1.4466666666666668,1.6811111111111112,6.582885714285715,1.602857142857143,1.4155555555555555,1.7566666666666668,6.999736507936508,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.750219047619049,1.8457142857142856,1.3377777777777777,2.058888888888889,8.819168253968254,2.04,1.0733333333333333,2.285555555555556,9.652653968253967,1.7485714285714287,1.3315555555555554,1.9342222222222225,7.960932698412698,189.30097306378394,1395.6197025241975,1,27.570356720676184
Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2,LC0 16x6_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.408784126984128,1.5542857142857143,1.4155555555555555,1.7566666666666668,6.823853968253969,1.6514285714285715,1.3844444444444444,1.8888888888888893,7.559441269841269,1.7971428571428572,1.3377777777777777,2.058888888888889,8.635460317460321,1.9914285714285715,1.0733333333333333,2.285555555555556,9.5268,1.7,1.3315555555555554,1.9342222222222225,7.790867936507938,189.30097306378394,1393.7950751537728,1,27.753902397229407
Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2,LC0 16x6_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.90108253968254,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.375895238095239,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.16647619047619,1.942857142857143,1.3377777777777777,2.058888888888889,9.290095238095235,2.137142857142857,1.0733333333333333,2.285555555555556,10.162060317460316,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.379121904761904,181.84308597056935,1399.2689572650465,1,27.90392662386166
Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2,LC0 16x7p5_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,7.061044444444445,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.558415873015873,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.380298412698412,2.04,1.3377777777777777,2.058888888888889,9.541317460317462,2.2342857142857144,1.0733333333333333,2.285555555555556,10.517711111111112,1.904,1.3315555555555554,1.9342222222222225,8.61175746031746,181.84308597056935,1400.5385013825016,1,28.371998293538187
