candidate_id,label,source,compound,tire_size,rim,pressure_psi,is_candidate,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,pdy1,pdy2,pky1,pky2,pky3,mu_y_400n,mu_y_ref,mu_y_900n,mu_y_1090n,mu_y_900n_vs_400n_pct,cornering_stiffness_ref_n_per_rad,cornering_stiffness_900n_n_per_rad
Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2,LC0 16x7p5_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1092.0,0.2062,0.19,0.1778,93167.0,111.55,-2.29972,0.233708,-53.4328,2.64147,1.35744,2.3909231219512197,2.29972,2.212792024390244,2.1451022073170734,-7.450306366003267,23212.828058188043,28675.52145956528
Round_8_Hoosier_LC0_16x7p5_10_on_7in_14psi_PAC02_UM2,LC0 16x7p5_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2074,0.19,0.1778,97721.0,114.244,-2.31779,0.137898,-54.745,2.80363,1.50707,2.3716038536585367,2.31779,2.2664986707317074,2.226558701219512,-4.431818693694966,22727.336828992713,28357.189026646378
Round_8_Hoosier_LC0_16x7p5_10_on_7in_8psi_PAC02_UM2,LC0 16x7p5_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1092.0,0.2039,0.19,0.1778,77406.0,101.678,-2.60928,0.285186,-45.6002,1.61754,1.3621,2.7205720975609755,2.60928,2.5032047195121954,2.4206051158536583,-7.989767234753768,26759.307465537542,29512.678014749654
Round_8_Hoosier_LC0_16x7p5_10_on_8in_10psi_PAC02_UM2,LC0 16x7p5_10 on 8in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1091.0,0.2042,0.19,0.2032,87914.0,110.066,-2.66031,0.22176,-56.7924,2.28097,1.23063,2.747056301369863,2.66031,2.578289178082192,2.514157671232877,-6.143562591109351,27441.99571011765,32937.37533654139
Round_8_Hoosier_LC0_16x7p5_10_on_8in_12psi_PAC02_UM2,LC0 16x7p5_10 on 8in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1092.0,0.2047,0.19,0.2032,91766.0,112.452,-2.28868,0.31465,-60.9384,3.26168,1.13736,2.4117622678843227,2.28868,2.172302602739726,2.081307929984779,-9.928825420867819,22440.299383702368,28587.17463355294
Round_8_Hoosier_LC0_16x7p5_10_on_8in_14psi_PAC02_UM2,LC0 16x7p5_10 on 8in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1091.0,0.2057,0.19,0.2032,95969.0,114.998,-2.36017,0.193832,-58.8393,3.13478,1.23579,2.4359916499238965,2.36017,2.288478712328767,2.232423796042618,-6.055560067282574,22385.561098118444,28368.483635565462
Round_8_Hoosier_LC0_16x7p5_10_on_8in_8psi_PAC02_UM2,LC0 16x7p5_10 on 8in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1092.0,0.2027,0.19,0.2032,80383.0,105.246,-2.52838,0.354884,-52.0765,2.01893,1.43985,2.667200681887367,2.52838,2.3971215342465753,2.2944914581430744,-10.125940259196316,27216.363601112156,31792.78947159906
Round_8_Hoosier_R25B_16x6_10_on_6in_10psi_PAC02_UM2,R25B 16x6_10 on 6in 10 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1092.0,0.2018,0.15,0.1524,85812.0,101.926,-2.69196,0.208388,-41.2245,1.49706,0.986324,2.7732821463414634,2.69196,2.6144498292682927,2.5540935487804877,-5.727232524202544,24981.823171731667,26940.618144466465
Round_8_Hoosier_R25B_16x6_10_on_6in_12psi_PAC02_UM2,R25B 16x6_10 on 6in 12 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,654.0,100.0,1090.0,0.2024,0.15,0.1524,91241.0,105.101,-2.41931,0.305179,-41.9396,2.11977,0.586818,2.5378351773700305,2.41931,2.3045178990825685,2.215857333333333,-9.193555214616012,21167.890563816327,25053.862318587737
Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2,R25B 16x6_10 on 6in 14 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1092.0,0.2035,0.15,0.1524,98071.0,108.964,-2.89895,0.0,-44.1751,1.93401,1.25809,2.89895,2.89895,2.89895,2.89895,0.0,23645.885898206987,27350.67889821639
