compound,model,size,rim_width_in,setup_id,label,initial_run,final_run,pressure_psi,status,initial_samples,final_samples,initial_peak_mu_y_p95,final_peak_mu_y_p95,peak_mu_y_delta_pct,initial_ky_norm_per_rad,final_ky_norm_per_rad,ky_delta_pct,initial_tread_mean_c,final_tread_mean_c,tread_delta_c,initial_inner_minus_outer_c,final_inner_minus_outer_c
R25B,43075,16x7.5-10,7.0,R25B_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 R25B 7in,2,4,12.0,ok,19790,19980,2.8391367363363864,2.8380731703351745,-0.037460893925959964,35.24359873169767,33.150349171819805,-5.939375192111766,59.41107023749369,59.787718551885206,0.3766483143915167,-7.699419403739263,-8.519115615615615
R25B,43075,16x7.5-10,8.0,R25B_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 R25B 8in,6,7,12.0,ok,19932,19976,2.8800871990491004,2.876688569136127,-0.11800441021701272,36.691108792433496,34.33186884941468,-6.43000449063927,57.56827864740116,56.48754271792818,-1.0807359294729793,-3.7283639373871162,-6.45918952743292
R25B,43070,16x6.0-10,6.0,R25B_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 R25B 6in,9,10,12.0,ok,19915,19964,2.8126094092065848,2.748517171174313,-2.278746484402597,31.705355436756722,29.59669113055848,-6.650814277746975,58.67699204954389,59.203760769384886,0.5267687198409945,-7.402422796886769,-9.169950911640953
R25B,43070,16x6.0-10,7.0,R25B_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 R25B 7in,12,13,12.0,ok,19796,19968,2.772526782514649,2.8037615351192278,1.1265807350019208,34.33604189346638,32.455124681539694,-5.4779674889801315,58.78206758941201,59.473945980235044,0.6918783908230353,-5.715083855324309,-7.205082632211536
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,15,16,12.0,ok,19858,19963,2.744394591165068,2.5694596077557046,-6.374264982613112,33.09889602313698,30.322263427029,-8.388897908156945,58.30021032665257,58.22075005426707,-0.07946027238549647,-5.793285325813274,-6.4023077693733415
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,18,19,12.0,ok,19970,19978,2.7979263421749883,2.5899495375474304,-7.433248027032962,32.093409930205524,30.320458014109924,-5.524348830340218,59.605131363712225,57.54003920979744,-2.065092153914783,-5.885103655483224,-7.576365502052258
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,21,22,12.0,ok,19944,19964,2.665314660447192,2.634302637944218,-1.1635407617414646,31.39722439078932,30.396327269874902,-3.187852239601279,60.080975230645805,54.37391872036332,-5.707056510282484,-7.441725832330525,-10.064626828290924
LC0,43070,16x6.0-10,7.0,LC0_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 LC0 7in,24,25,12.0,ok,19957,19993,2.7099033942348236,2.678264395747624,-1.16753233914205,33.62466105674883,32.334117642610614,-3.8380860165702315,61.875382739556706,55.865779856283034,-6.009602883273672,-5.275986370696999,-4.728117341069375
