compound,model,size,rim_width_in,setup_id,label,initial_run,final_run,pressure_psi,status,initial_samples,final_samples,initial_peak_mu_y_p95,final_peak_mu_y_p95,peak_mu_y_delta_pct,initial_ky_norm_per_rad,final_ky_norm_per_rad,ky_delta_pct,initial_tread_mean_c,final_tread_mean_c,tread_delta_c,initial_inner_minus_outer_c,final_inner_minus_outer_c,lc0_raw_cornering_score,lc0_raw_rank
LC0,43070,16x6.0-10,7.0,LC0_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 LC0 7in,24,25,12.0,ok,19957,19993,2.7099033942348236,2.678264395747624,-1.16753233914205,33.62466105674883,32.334117642610614,-3.8380860165702315,61.875382739556706,55.865779856283034,-6.009602883273672,-5.275986370696999,-4.728117341069375,0.9998408387652051,1
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,21,22,12.0,ok,19944,19964,2.665314660447192,2.634302637944218,-1.1635407617414646,31.39722439078932,30.396327269874902,-3.187852239601279,60.080975230645805,54.37391872036332,-5.707056510282484,-7.441725832330525,-10.064626828290924,0.5294840677758048,2
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,18,19,12.0,ok,19970,19978,2.7979263421749883,2.5899495375474304,-7.433248027032962,32.093409930205524,30.320458014109924,-5.524348830340218,59.605131363712225,57.54003920979744,-2.065092153914783,-5.885103655483224,-7.576365502052258,0.08474322294494423,3
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,15,16,12.0,ok,19858,19963,2.744394591165068,2.5694596077557046,-6.374264982613112,33.09889602313698,30.322263427029,-8.388897908156945,58.30021032665257,58.22075005426707,-0.07946027238549647,-5.793285325813274,-6.4023077693733415,0.04249515067437267,4
