model,size,rim_width_in,setup,r20_candidate_id,r20_label,r20_pressure_psi,lc0_final_peak_mu_y_p95,r20_final_peak_mu_y_p95,lc0_vs_r20_peak_mu_y_delta_pct,lc0_final_ky_norm_per_rad,r20_final_ky_norm_per_rad,lc0_vs_r20_ky_delta_pct,lc0_peak_mu_y_degradation_pct,r20_peak_mu_y_degradation_pct,r20_integrated_design_score,r20_envelope_score,r20_standardsim_score,r20_standardsim_quality_status
43070,16x6.0-10,6.0,43070 16x6.0-10 6in,Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 12 psi,12.0,2.634302637944218,2.476378067116135,6.377239926534884,30.396327269874902,29.375350930764533,3.4756226113408237,-1.1635407617414646,-0.4636566140070221,0.7482252737304778,0.6448825121800458,0.9401475451812802,ok
43070,16x6.0-10,7.0,43070 16x6.0-10 7in,Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 12 psi,12.0,2.678264395747624,2.4379464028596454,9.857394428609755,32.334117642610614,30.53582136898876,5.889136735153125,-1.16753233914205,-0.9538525264529617,0.7083733131808911,0.5792658938618496,0.9481442347733972,ok
43075,16x7.5-10,7.0,43075 16x7.5-10 7in,Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 12 psi,12.0,2.5899495375474304,2.5599471212994778,1.171993593083393,30.320458014109924,33.50601347115761,-9.507414123706031,-7.433248027032962,1.626310287671022,0.7401137944837012,0.6521085550872058,0.9035520962200498,ok
43075,16x7.5-10,8.0,43075 16x7.5-10 8in,Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 12 psi,12.0,2.5694596077557046,2.529963027533026,1.5611524671643826,30.322263427029,34.20032702883982,-11.339258827965594,-6.374264982613112,0.5743361295209087,0.724633712594048,0.6380786262913032,0.885378872870574,ok
