model,size,rim_width_in,setup,lc0_final_peak_mu_y_p95,r25b_final_peak_mu_y_p95,lc0_vs_r25b_peak_mu_y_delta_pct,lc0_final_ky_norm_per_rad,r25b_final_ky_norm_per_rad,lc0_vs_r25b_ky_delta_pct,lc0_peak_mu_y_degradation_pct,r25b_peak_mu_y_degradation_pct
43075,16x7.5-10,8.0,43075 16x7.5-10 8in,2.5694596077557046,2.876688569136127,-10.679952104536762,30.322263427029,34.33186884941468,-11.67896055985907,-6.374264982613112,-0.11800441021701272
43075,16x7.5-10,7.0,43075 16x7.5-10 7in,2.5899495375474304,2.8380731703351745,-8.742679201552821,30.320458014109924,33.150349171819805,-8.536534994073284,-7.433248027032962,-0.037460893925959964
43070,16x6.0-10,6.0,43070 16x6.0-10 6in,2.634302637944218,2.748517171174313,-4.155496441060861,30.396327269874902,29.59669113055848,2.7017754646592955,-1.1635407617414646,-2.278746484402597
43070,16x6.0-10,7.0,43070 16x6.0-10 7in,2.678264395747624,2.8037615351192278,-4.47602757223314,32.334117642610614,32.455124681539694,-0.37284416595665504,-1.16753233914205,1.1265807350019208
