candidate_id,raw_endurance_time_s,terminal_energy_kwh,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points
tenpower_60xg_125s3p,1236.396184147111,6.935501077838729,False,True,False,0.421207812073476,23.544212057771723,0.0
reliance_rs50_110s4p,1237.5581472220997,6.933241796625216,False,True,False,0.42094946016324075,23.495832410765143,0.0
ampace_jp50_110s4p,1240.211626652855,6.934837135368828,False,True,False,0.41995219196988615,23.309081389178154,0.0
tenpower_50xg_110s4p,1241.7179854302497,6.9385461964257225,False,True,False,0.41921852077238403,23.171692222898237,0.0
tenpower_60xg_120s3p,1244.122620288108,6.653771237939795,True,True,True,0.4363157247901111,26.373358873722978,26.373358873722978
molicel_p50b_110s4p,1244.9442098377676,6.766025831554883,True,True,True,0.4287936801429263,24.964761335322194,24.964761335322194
reliance_rs50_140s3p,1246.6934619029837,6.617101947086701,True,True,True,0.4378288843852247,26.65671705369367,26.65671705369367
molicel_p50b_140s3p,1248.1709229430533,6.416368726755676,True,True,True,0.45099169290857777,29.121618626881638,29.121618626881638
ampace_jp50_140s3p,1249.441301261939,6.615252770570784,True,True,True,0.436988105390889,26.499270604315893,26.499270604315893
ampace_jp50_135s3p,1249.7594790950031,6.351728799406729,True,True,True,0.45500223594767425,29.872643290719015,29.872643290719015
tenpower_50xg_140s3p,1251.023538290864,6.617054345309171,True,True,True,0.43631659800293315,26.373522393814834,26.373522393814834
tenpower_60xg_115s3p,1252.8018417415612,6.376491850665483,True,True,True,0.4521345810044655,29.33563880810159,29.33563880810159
reliance_rs50_135s3p,1254.6422951618374,6.371142726509093,True,True,True,0.4518503872220506,29.282419945263776,29.282419945263776
tenpower_60xg_110s3p,1255.1177676414636,6.065193578043942,True,True,True,0.4744634614895224,33.51700272732105,33.51700272732105
molicel_p50b_135s3p,1255.2215651220267,6.187148549553465,True,True,True,0.4650728443276607,31.75849146626212,31.75849146626212
tenpower_50xg_135s3p,1258.684795759742,6.3758306057743726,True,True,True,0.4500680260456214,28.948650380814442,28.948650380814442
reliance_rs50_130s3p,1262.9139693905513,6.129728473701116,True,True,True,0.4665701096534922,32.03887324425229,32.03887324425229
molicel_p50b_130s3p,1263.797666234762,5.957814383052631,True,True,True,0.4796974384591463,34.49713079372622,34.49713079372622
reliance_rs50_125s3p,1264.7051554456884,5.8638649879631615,True,True,True,0.48703331051551546,35.870865171185955,35.870865171185955
ampace_jp50_130s3p,1265.6233450154614,6.1266925526122336,True,True,True,0.46580200406851985,31.895035805500992,31.895035805500992
tenpower_50xg_130s3p,1267.0232030051448,6.130485817146827,True,True,True,0.4649994687901981,31.744750973311525,31.744750973311525
tenpower_30xg_130s5p,1267.0279253355425,6.193677537256213,True,True,True,0.46025354186279416,30.856016420283694,30.856016420283694
ampace_jp50_125s3p,1267.3198573233494,5.862190969400184,True,True,True,0.4861672670898574,35.70868763904558,35.70868763904558
tenpower_30xg_125s5p,1268.4638538460058,5.928649068867562,True,True,True,0.48028395331748197,34.60696308327482,34.60696308327482
ampace_jp30_130s5p,1268.7972096334274,6.192696206818482,True,True,True,0.4596845704061081,30.749469353508676,30.749469353508676
tenpower_50xg_125s3p,1268.8198558846566,5.862515416740183,True,True,True,0.48556564625749327,35.59602656572479,35.59602656572479
ampace_jp30_125s5p,1270.2308514585948,5.926554061111449,True,True,True,0.4797853799140643,34.513598938058124,34.513598938058124
molicel_p30b_130s5p,1271.3867394174808,6.069867533316428,True,True,True,0.46803143838371597,32.312525442389386,32.312525442389386
molicel_p50b_125s3p,1272.894113033567,5.727647965658777,True,True,True,0.4954083493229601,37.43919660253324,37.43919660253324
molicel_p30b_125s5p,1273.2264423488484,5.804842036543768,True,True,True,0.4886927110197902,36.181608802097166,36.181608802097166
reliance_rs50_120s3p,1274.8096270552908,5.6147581393772406,True,True,True,0.5046096238799371,39.16225107761647,39.16225107761647
ampace_jp50_120s3p,1277.0870958689172,5.618519217604235,True,True,True,0.50337255095568,38.93059360180196,38.93059360180196
tenpower_30xg_120s5p,1278.1688054893457,5.673360915268217,True,True,True,0.4980848020954718,37.940396072070676,37.940396072070676
tenpower_50xg_120s3p,1278.6069622385903,5.6178326924053845,True,True,True,0.5028356387460036,38.83005003255173,38.83005003255173
ampace_jp30_120s5p,1279.8028388480736,5.672951258154798,True,True,True,0.4974847767264449,37.82803376934151,37.82803376934151
molicel_p50b_120s3p,1282.7234736297323,5.491902724701137,True,True,True,0.5127150178316638,40.680088115773884,40.680088115773884
