candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,pack_aware_curve_points,pack_aware_full_soc,pack_aware_terminal_power_limit_kw,pack_aware_maximum_achievable_terminal_power_kw,pack_aware_maximum_achievable_wheel_power_kw,pack_aware_maximum_tractive_force_n,pack_aware_active_limiter_at_peak_terminal_power,pack_aware_reaches_79p9kw_terminal,raw_endurance_time_s,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,pack_aware_acceleration_raw_time_s,pack_aware_acceleration_converged,pack_aware_skidpad_raw_time_s,pack_aware_skidpad_converged,pack_aware_autocross_raw_time_s,pack_aware_autocross_converged,mass_isolated_acceleration_raw_time_s,mass_isolated_acceleration_converged,mass_isolated_skidpad_raw_time_s,mass_isolated_skidpad_converged,mass_isolated_autocross_raw_time_s,mass_isolated_autocross_converged,terminal_energy_kwh,pack_aware_acceleration_cohort_points,pack_aware_acceleration_cohort_point_loss,pack_aware_acceleration_cohort_time_rank,pack_aware_skidpad_cohort_points,pack_aware_skidpad_cohort_point_loss,pack_aware_skidpad_cohort_time_rank,pack_aware_autocross_cohort_points,pack_aware_autocross_cohort_point_loss,pack_aware_autocross_cohort_time_rank,pack_aware_cohort_nonenergy_points,pack_aware_cohort_performance_points_excluding_efficiency,pack_aware_cohort_full_dynamic_points,mass_isolated_acceleration_cohort_points,mass_isolated_acceleration_cohort_point_loss,mass_isolated_acceleration_cohort_time_rank,mass_isolated_skidpad_cohort_points,mass_isolated_skidpad_cohort_point_loss,mass_isolated_skidpad_cohort_time_rank,mass_isolated_autocross_cohort_points,mass_isolated_autocross_cohort_point_loss,mass_isolated_autocross_cohort_time_rank,mass_isolated_cohort_nonenergy_points,mass_isolated_cohort_performance_points_excluding_efficiency,mass_isolated_cohort_full_dynamic_points,endurance_cohort_points,endurance_cohort_point_loss,endurance_cohort_time_rank,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_fully_cohort_normalized_full_dynamic_points,pack_aware_cohort_nonenergy_points_rank,pack_aware_cohort_performance_points_excluding_efficiency_rank,pack_aware_cohort_full_dynamic_points_rank,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank,pack_aware_fully_cohort_normalized_full_dynamic_points_rank,mass_isolated_cohort_full_dynamic_points_with_inherited_efficiency,mass_isolated_fully_cohort_normalized_full_dynamic_points,mass_isolated_cohort_nonenergy_points_rank,mass_isolated_cohort_performance_points_excluding_efficiency_rank,mass_isolated_cohort_full_dynamic_points_rank,mass_isolated_cohort_full_dynamic_points_with_inherited_efficiency_rank,mass_isolated_fully_cohort_normalized_full_dynamic_points_rank,pack_aware_minus_mass_isolated_cohort_nonenergy_points,pack_aware_minus_mass_isolated_cohort_full_dynamic_points,pack_aware_minus_mass_isolated_fully_cohort_normalized_points
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,375,35.625,258.51015114,8.1,7.939125,35.203125,121,1.0,80.0,56.55194851595368,50.2315176285761,3471.857362953549,bus_current+motor_voltage,False,1236.396184147111,63.397814007285376,0.1694700756181157,0.7174667679999988,84.3438519685037,4.342580605254257,True,4.794899035926109,True,52.254710652882935,True,4.247502178631121,True,4.794899035926109,True,52.17037644133791,True,6.935501077838729,93.95362161679631,6.046378383203688,71,72.0004252549235,2.999574745076501,108,122.29351527948806,2.706484720511938,107,288.2475621512079,563.2475621512078,647.5914141197115,97.15694265870837,2.843057341291626,108,72.0004252549235,2.999574745076501,108,121.58729051935836,3.412709480641638,108,290.74465843299026,565.7446584329903,650.088510401494,275.0,0.0,1,False,True,False,0.421207812073476,23.544212057771723,0.0,0.7174667679999988,84.3438519685037,647.5914141197115,563.2475621512078,89,2,13,13,62,650.088510401494,565.7446584329903,108,1,7,7,63,-2.497096281782376,-2.497096281782433,-2.497096281782433
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,440,36.85,259.73515114,7.92,7.762699999999999,35.09375,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1237.5581472220997,63.45739516731807,0.1694148697211229,0.7170267027763015,84.25722495596487,4.292370329604366,True,4.797431016765577,True,52.23341125715974,True,4.250501074226722,True,4.797431016765577,True,52.20290269935094,True,6.933241796625216,97.23424573985227,2.7657542601477303,36,71.79400062472676,3.2059993752732368,115,122.44811312373255,2.551886876267446,101,291.4763594883116,565.720010534116,649.9772354900808,96.9568115350724,3.0431884649275958,115,71.79400062472676,3.2059993752732368,115,121.35150656458914,3.648493435410856,115,290.10231872438834,564.3459697701928,648.6031947261577,274.2436510458044,0.7563489541955732,2,False,True,False,0.42094946016324075,23.495832410765143,0.0,0.7170267027763015,84.25722495596487,649.9772354900808,565.720010534116,59,1,5,5,61,648.6031947261577,564.3459697701928,115,2,13,13,68,1.374040763923233,1.3740407639231762,1.3740407639231762
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,34.8671875,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1240.211626652855,63.59345575823555,0.1694538520779104,0.715328000219022,83.92283468878385,4.299477094597742,True,4.803090401087801,True,52.30643349836143,True,4.257232640246016,True,4.803090401087801,True,52.2756265575398,True,6.934837135368828,96.76525089218129,3.2347491078187147,41,71.33378812824309,3.6662118717569143,126,121.91861838639046,3.081381613609537,120,290.0176574068148,562.5394102743476,646.4622449631314,96.5086076426122,3.491392357387795,126,71.33378812824309,3.6662118717569143,126,120.82539023701841,4.174609762981589,126,288.6677860078737,561.1895388754065,645.1123735641903,272.5217528675327,2.4782471324672883,3,False,True,False,0.41995219196988615,23.309081389178154,0.0,0.715328000219022,83.92283468878385,646.4622449631314,562.5394102743476,72,3,17,17,65,645.1123735641903,561.1895388754065,126,4,19,19,77,1.3498713989411044,1.3498713989411044,1.3498713989411044
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1241.7179854302497,63.67069625349264,0.169544483576735,0.7140782971324262,83.67683014417838,4.303741338746866,True,4.806470102955475,True,52.35005557404894,True,4.261271224332836,True,4.806470102955475,True,52.319068393338256,True,6.9385461964257225,96.48458528203129,3.51541471796871,43,71.05973087352112,3.9402691264788814,128,121.60301325238373,3.3969867476162676,125,289.1473294079361,560.6948493444299,644.3716794886084,96.24038860676868,3.7596113932313244,128,71.05973087352112,3.9402691264788814,128,120.51181071886157,4.488189281138432,128,287.81193019915133,559.3594501356451,643.0362802798236,271.5475199364938,3.4524800635061865,4,False,True,False,0.41921852077238403,23.171692222898237,0.0,0.7140782971324262,83.67683014417838,644.3716794886084,560.6948493444299,82,6,24,24,68,643.0362802798236,559.3594501356451,128,5,26,26,83,1.3353992087847928,1.3353992087847928,1.3353992087847928
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,121,1.0,80.0,54.28987098119978,48.204396446908646,3471.857362953549,bus_current+motor_voltage,False,1244.122620288108,63.79399701697656,0.1625859620211742,0.7432009186907732,89.40962966353804,4.353876365797747,True,4.791944925095995,True,52.23483869258638,True,4.244013571977018,True,4.791944925095995,True,52.132434958521685,True,6.653771237939795,93.22600863765345,6.77399136234655,79,72.24167855998337,2.75832144001663,99,122.43774839806495,2.5622516019350456,102,287.90543559570176,557.9026541523549,647.3122838158929,97.39011050345229,2.6098894965477086,99,72.24167855998337,2.75832144001663,99,121.86270139568968,3.137298604310317,99,291.49449045912536,561.4917090157785,650.9013386793165,269.99721855665314,5.002781443346862,5,True,True,True,0.4363157247901111,26.373358873722978,26.373358873722978,0.7432009186907732,89.40962966353804,647.3122838158929,584.2760130260779,90,8,14,14,8,650.9013386793165,587.8650678895015,99,3,6,6,2,-3.5890548634235984,-3.5890548634235984,-3.5890548634235984
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,121,1.0,80.0,79.99999934839148,69.07638665083184,3471.857362953549,terminal_power_limit+motor_voltage,True,1244.9442098377676,63.83612508411839,0.1653289209299713,0.7303882003435029,86.88744101250059,4.272030518165478,True,4.801961207674562,True,52.27164714591756,True,4.2558864450073015,True,4.801961207674562,True,52.26111418781777,True,6.766025831554883,98.58514925811225,1.4148507418877472,27,71.42548248759657,3.574517512403432,123,122.17067470373871,2.8293252962612883,114,292.18130644944756,561.6502075216993,648.5376485341999,96.59812714578662,3.40187285421338,123,71.42548248759657,3.574517512403432,123,120.9302621501106,4.069737849889407,123,288.9538717834938,558.4227728557455,645.3102138682461,269.4689010722517,5.531098927748303,6,True,True,True,0.4287936801429263,24.964761335322194,24.964761335322194,0.7303882003435029,86.88744101250059,648.5376485341999,586.6149688570215,46,4,10,10,4,645.3102138682461,583.3875341910677,123,7,18,18,11,3.2274346659537514,3.2274346659537514,3.2274346659537514
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1246.6934619029837,63.92582024696694,0.1616899420474201,0.7457783678573264,89.9170015467178,4.299172048294293,True,4.793967183287888,True,52.19845977482135,True,4.246400595496384,True,4.793967183287888,True,52.15840723381881,True,6.617101947086701,96.78534988257046,3.2146501174295423,40,72.07647869258236,2.9235213074176443,106,122.70207557462301,2.2979244253769906,85,291.5639041497758,559.9102803386104,649.8272818853281,97.23052773318656,2.7694722668134375,106,72.07647869258236,2.9235213074176443,106,121.67412973122494,3.3258702687750628,106,290.98113615699384,559.3275123458284,649.2445138925461,268.3463761888346,6.653623811165403,7,True,True,True,0.4378288843852247,26.65671705369367,26.65671705369367,0.7457783678573264,89.9170015467178,649.8272818853281,586.5669973923041,56,7,6,6,5,649.2445138925461,585.9842293995221,106,6,11,11,6,0.5827679927819531,0.58276799278201,0.58276799278201
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,121,1.0,80.0,79.99999983734592,71.3673349080841,3471.857362953549,terminal_power_limit+motor_voltage,True,1248.1709229430533,64.00157897335446,0.1567849937752229,0.7681993140467228,94.33057363124465,4.263453524122029,True,4.798307859449993,True,52.2216305153007,True,4.2515414336223945,True,4.798307859449993,True,52.21416859008002,True,6.416368726755676,99.15866873316415,0.8413312668358515,14,71.72259049746975,3.277409502530247,116,122.53367569174394,2.4663243082560626,94,293.4149349223778,560.8156501786493,655.146223809894,96.887449172797,3.1125508272029947,116,71.72259049746975,3.277409502530247,116,121.26990823224506,3.730091767754942,116,289.87994790251184,557.2806631587832,651.6112367900279,267.40071525627144,7.59928474372856,8,True,True,True,0.45099169290857777,29.121618626881638,29.121618626881638,0.7681993140467228,94.33057363124465,655.146223809894,589.937268805531,36,5,2,2,1,651.6112367900279,586.4022817856649,116,8,4,4,4,3.53498701986598,3.5349870198660938,3.5349870198660938
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1249.441301261939,64.066719265287,0.1616447571241584,0.7443462220842009,89.63508308744112,4.306060450129884,True,4.799389892434655,True,52.26855210252506,True,4.252826585744518,True,4.799389892434655,True,52.228071626686514,True,6.615252770570784,96.33217851009974,3.6678214899002626,45,71.63452360255769,3.3654763974423076,119,122.19311714386038,2.806882856139623,112,290.15981925651784,556.7492068058898,646.3842898933309,96.80181295548485,3.1981870445151515,119,71.63452360255769,3.3654763974423076,119,121.16925769997776,3.830742300022237,119,289.6055942580203,556.1949818073922,645.8300648948333,266.58938754937196,8.410612450628037,9,True,True,True,0.436988105390889,26.499270604315893,26.499270604315893,0.7443462220842009,89.63508308744112,646.3842898933309,583.2484774102057,69,10,18,18,12,645.8300648948333,582.6942524117081,119,11,16,16,14,0.5542249984975456,0.5542249984976024,0.5542249984976024
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,121,1.0,80.0,62.468883451751154,55.54452190354812,3471.857362953549,bus_current+motor_voltage,False,1249.7594790950031,64.08303424533989,0.1552055068350826,0.7750306957773244,95.67533381443394,4.312557611493355,True,4.796605003337477,True,52.24204567258141,True,4.249521856560609,True,4.796605003337477,True,52.19229084544618,True,6.351728799406729,95.90607259613711,4.093927403862892,52,71.86130703995367,3.1386929600463276,112,122.3854265744544,2.6145734255456006,105,290.1528062105452,556.5392476291795,652.2145814436135,97.02212851114747,2.9778714888525286,112,71.86130703995367,3.1386929600463276,112,121.4283999564097,3.571600043590294,112,290.31183550751086,556.6982769261451,652.3736107405791,266.38644141863426,8.613558581365737,10,True,True,True,0.45500223594767425,29.872643290719015,29.872643290719015,0.7750306957773244,95.67533381443394,652.2145814436135,586.4118909198985,70,11,4,4,6,652.3736107405791,586.5709202168641,112,10,3,3,3,-0.15902929696568435,-0.1590292969656275,-0.1590292969656275
