candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,cell_nominal_voltage_v,cell_maximum_voltage_v,cell_minimum_voltage_v,cell_pulse_current_a,cell_pulse_duration_s,cell_document_status,power_limit_kw,vehicle_mass_kg,pack_resistance_initial_mohm,simulation_fidelity,regen_endurance_only,regen_command_power_kw,regen_active_rms_target_kw,regen_active_power_threshold_kw,completed_target_distance,target_distance_m,elapsed_time_s,equivalent_average_lap_time_s,fastest_completed_lap_time_s,slowest_completed_lap_time_s,completed_full_laps_before_target,final_soc,remaining_usable_chemical_kwh,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,chemical_energy_kwh,chemical_discharge_energy_kwh,chemical_regenerated_energy_kwh,mechanical_energy_kwh,positive_motor_shaft_energy_kwh,regenerative_wheel_energy_kwh,mechanical_braking_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,motor_loss_kwh,inverter_loss_kwh,drivetrain_loss_kwh,average_battery_terminal_power_kw,peak_battery_terminal_power_kw,peak_regen_terminal_power_kw,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_duration_s,regen_active_duty_fraction,average_motor_shaft_power_kw,peak_motor_shaft_power_kw,peak_pack_current_a,peak_pack_charge_current_a,peak_cell_current_a,peak_cell_charge_current_a,rms_cell_current_a,minimum_terminal_voltage_v,maximum_terminal_voltage_v,battery_discharge_efficiency_pct,battery_charge_storage_efficiency_pct,chemical_to_motor_efficiency_pct,adiabatic_cell_temperature_rise_c,distance_reached_m,maximum_achieved_terminal_power_kw,pack_current_limit_respected,power_limit_respected,regen_active_rms_error_kw,solver_energy_balance_relative,search_status,search_evaluations,reserve_target_kwh,reserve_error_kwh,constraint_valid,equal_reserve_eligible
ampace_jp30_130s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,130,5,650,546.0,478.4,7.176,6.880574999999999,11.471139475359278,99.61616953483048,0.05,3.0,10.235,36.0,180.0,40.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",35.9140625,263.51015114,279.4155,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1238.5458907732375,60.23661032067423,60.18979407991433,61.36230488480265,20,0.1281218521229052,0.4999382585271363,6.0925044636052,6.865151804583999,0.7726473409787997,6.380652364220269,7.145130829890925,0.7644784656706571,5.108728255963552,6.079457397426945,0.9956196322701472,3.049894384230788,0.2881479006150681,0.0081688753081427,0.7398388406892414,0.2439373669524071,0.1768769257424274,17.70868260302063,35.91406249919752,10.058999998459356,8.736468428684747,4.549394829465597,335.83342667676004,0.2711513793542972,14.84920490914295,32.496482881822566,87.81600861922873,22.68219162960405,17.563201723845744,4.53643832592081,10.98060045399824,408.9689961450194,545.9999898975681,96.0815409546364,98.94274206680188,85.08531952968805,31.91792129889985,22000.0,35.91406249919752,True,True,0.1622012862747848,3.3511274324805906e-15,converged,7,0.5,-6.174147286369669e-05,True,True
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,4,440,462.0,393.8,7.876,7.762699999999999,11.097350780083564,96.37016262167488,0.072,5.0,8.188,40.0,160.0,39.6,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",48.25,262.48515114,236.42850000000004,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1218.4728918638116,59.26036113824019,59.21976101810105,60.38976819063207,20,0.1195323930060921,0.5007101640749556,6.773130588566114,7.601280556181717,0.828149967615601,7.262008408243623,8.079764061682658,0.817755653439036,5.741234715628998,6.78684014752048,1.0724158275810056,3.5270572429976976,0.4888778196775082,0.010394314176565,0.787774616230776,0.2441212567063392,0.1964813993775373,20.01133573151608,48.2499999980574,10.058999999525328,8.806809553496507,4.761410835134383,356.1453769176162,0.2922883055468274,16.96258087830689,43.94985932265998,146.54351909201378,26.81265203583804,36.635879773003445,6.7031630089595104,19.57974581509681,329.04669737512086,461.99999297767965,94.07800151281528,98.74487537486812,83.99799914586963,55.55429769062594,22000.0,48.2499999980574,True,True,0.2325424110865448,5.559016446750051e-15,converged,6,0.5,0.0007101640749556,True,True
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,140,3,420,588.0,501.2,7.518,7.40985,10.59292574462522,91.989700684326,0.072,5.0,8.188,40.0,120.0,37.8,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",42.3125,260.68515114,401.2120000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1224.5565037342585,59.55623726225976,59.51316009112124,60.68724649567106,20,0.1221733414473358,0.496513648472659,6.46976951697427,7.27225673743001,0.8024872204557396,6.91335369221266,7.705340001728847,0.7919863095161879,5.453650518157435,6.467567323900691,1.0399146725571866,3.2989648548060115,0.4435841752383889,0.0105009109395517,0.7624025878275665,0.2537164109892687,0.1876870499114471,19.02008620270396,42.31249999886558,10.058999983538309,8.763877502952093,4.668688913670316,347.4990474981412,0.2837754292582256,16.03285908448971,38.406715275549445,99.81331372950812,21.02849468235937,33.27110457650271,7.009498227453122,19.04682553491082,423.9162159796567,587.9999874415556,94.37943991826882,98.69145443417924,83.93617053172947,52.80763990933202,22000.0,42.31249999886558,True,True,0.1896103605421313,-1.594688251817863e-15,converged,6,0.5,-0.0034863515273409,True,True
molicel_p30b_130s5p,molicel_p30b,Molicel,INR-18650-P30B,18650,130,5,650,546.0,468.0,7.02,6.880574999999999,11.515338854048618,100.0,0.047,3.0,17.0,30.0,150.0,38.1875,https://www.molicel.com/wp-content/uploads/Product-Data-Sheet-of-INR-18650-P30B-80111-2.pdf,Published typical DCIR at 50% SOC and 23 degC.,3.6,4.2,2.5,,,Official manufacturer product data sheet,33.7265625,261.07265114,464.1,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1242.1985038025182,60.41425495163711,60.36563643257104,61.5341561828038,20,0.1278928561991211,0.498439480516763,5.915547066823213,6.666156039440971,0.7506089726177569,6.3821508902566215,7.119819943968719,0.7376690537120976,4.946586673451261,5.8904821137420615,0.9680978874777452,2.9188769929327982,0.4666038234334075,0.0129399189056593,0.7297022465043446,0.2392581468676092,0.1714645000304953,17.14377321770559,33.72656250037611,10.05899997268079,8.671462992580288,4.465560970562117,329.401799705178,0.2651764582688191,14.3356411796609,30.48408242334974,86.10098327536532,22.432139433128672,17.220196655073064,4.486427886625735,10.825289744148565,391.70922531904034,545.9999849647146,93.6281548115265,98.27607724158544,82.73358259195805,54.98441127202184,22000.0,33.72656250037611,True,True,0.0971958501703262,5.329250917267711e-15,converged,8,0.5,-0.0015605194832369,True,True
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.258091711235346,97.76604799846749,0.071,5.0,12.8,60.0,240.0,39.05,https://www.molicel.com/wp-content/uploads/Product-Data-Sheet-of-INR-21700-P50B-80122.pdf,Published typical DCIR at 50% SOC and 23 degC.,3.6,4.2,2.5,,,Official manufacturer product data sheet,43.25,261.93515114,369.6,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1224.091904117029,59.53364148578777,59.49141144630221,60.66131702318792,20,0.1197666173824477,0.5024341017641224,6.528119165290004,7.331339673007764,0.8032205077177594,7.2602840592245075,8.048041111461405,0.7877570522368971,5.516513931957529,6.530285289102308,1.0397654945074652,3.354037663189989,0.7321648939345027,0.0154634554808623,0.7727363864270598,0.2388688469054155,0.1892512695902445,19.19890893486147,43.24999999956304,10.058999994245855,8.74125534875837,4.665674434494621,348.71365030569143,0.2848753832394866,16.22382280958902,39.33648199182041,139.3619628835548,26.53468974479215,34.8404907208887,6.6336724361980375,19.11880825060528,310.15092614511826,461.9999898360911,91.09470952586253,98.0748181436752,81.14130132613731,84.37239494763796,22000.0,43.24999999956304,True,True,0.1669882063484085,6.132192884827753e-15,converged,7,0.5,0.0024341017641223,True,True
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.07372263789744,96.16497419877564,0.067,5.0,8.188,40.0,160.0,36.85,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",48.71875,259.73515114,236.42850000000004,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1216.0261253241367,59.14136278404595,59.10072529737968,60.26942451948242,20,0.1199118596352885,0.5035031922565611,6.767884578397529,7.594739263423245,0.8268546850257146,7.259215377928134,8.075696367571112,0.8164809896429764,5.735948815487024,6.780845097243739,1.071688494109449,3.510314165187678,0.4913307995306049,0.0103736953827381,0.7882816833473119,0.2436540795631937,0.1963133397838298,20.036069928790948,48.718750000545455,10.058999987211113,8.802970363471472,4.762103737964253,355.8422758766859,0.2926271635667652,16.98106258222791,44.38240200318655,148.12209534916838,26.809140659664333,37.030523837292094,6.702285164916083,19.6491633300322,328.6902746233839,461.9999930671231,94.0443884681053,98.74540284156272,83.96607287605565,59.99969058039951,22000.0,48.718750000545455,True,True,0.2287032210615098,-5.070223040750626e-15,converged,7,0.5,0.0035031922565611,True,True
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,21700,140,3,420,588.0,504.0,7.56,7.40985,10.5703716089021,91.7938390079222,0.067,5.0,8.188,40.0,120.0,35.175,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",42.625,258.06015114,401.2120000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1222.1493185723816,59.43916394616716,59.39635523474024,60.56909369997955,20,0.1226247431957758,0.4996884244023302,6.464854389862106,7.266536296487169,0.8016819066250632,6.910178905109656,7.701376592684498,0.7911976875748431,5.449089795524484,6.462806227908092,1.0397091614190854,3.283825733425332,0.4453245152475492,0.01048421905022,0.7625795065787758,0.2531850877588461,0.1875628847331796,19.04307063779229,42.62500000046231,10.058999974670604,8.765659244852497,4.669965589365278,346.85520243814835,0.2838075488544372,16.05100372416265,38.696192738707325,100.6121182144972,21.025211221523985,33.53737273816573,7.008403740507994,19.10361505449121,423.65623449875926,587.9999875595735,94.35373285588472,98.69222206917992,83.91754578067356,56.97115333657346,22000.0,42.62500000046231,True,True,0.1913921024425349,-1.16193079003927e-14,converged,6,0.5,-0.0003115755976697,True,True
tenpower_30xg_130s5p,tenpower_30xg,Tenpower,INR18650-30XG,18650,130,5,650,546.0,468.0,7.02,6.880574999999999,11.409323021789756,99.07935117148908,0.048,3.0,10.235,40.0,200.0,39.0,https://static.dianchi.cn/uploads/2025/08/14/dc24ug2qundv6vmnaf.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"Manufacturer specification, public copy",36.1171875,261.88515114,279.4155,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1236.8535662241095,60.15430421061296,60.1076711334045,61.279831126539904,20,0.1274472792546314,0.4955235609975092,6.095576650418699,6.867414035148405,0.7718373847297051,6.385067096107556,7.148744951814459,0.7636778557069033,5.111622121562188,6.081888382556924,0.9951448830715244,3.0456310296852225,0.2894904456888557,0.0081595290228018,0.7402671251126145,0.2436874037438975,0.1769258316407113,17.741854444822124,36.11718750026751,10.058999996061717,8.728507449092278,4.549295313369657,335.9725030115375,0.2716348258082004,14.877945247634578,32.684580003744315,88.37873110054119,22.687682473656352,17.675746220108238,4.53753649473127,11.013071647658204,408.6636540899648,545.999989956384,96.06461108121296,98.94284350768274,85.07630952777592,33.4027437333295,22000.0,36.11718750026751,True,True,0.1542403066823165,-3.2267186108981512e-15,converged,7,0.5,-0.0044764390024907,True,True
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.261820337965192,97.79842765118204,0.075,5.0,8.188,40.0,160.0,41.25,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",47.9375,264.13515114,236.42850000000004,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1219.981716255776,59.33374272839214,59.293172223847165,60.46397449824755,20,0.1199307011072914,0.5036418838583349,6.772280441331341,7.601831367183011,0.8295509258516703,7.259076666942829,8.07821477114129,0.8191381041984607,5.740580845949854,6.787560165415267,1.0738249430414497,3.5335865330405856,0.4867962256114885,0.0104128216532097,0.7873279695905698,0.2443716257909173,0.1965346277114181,19.984077846361245,47.937500000401656,10.058999983033155,8.811138044634934,4.7630775127688585,356.4850449501191,0.2922052357015652,16.939672759068394,43.66142454219618,145.45602243442028,26.808837946936087,36.36400560860507,6.702209486734022,19.52661659582916,329.4125293710027,461.99999294372645,94.10286285454904,98.7447640248826,84.0230218892326,53.105042793980566,22000.0,47.937500000401656,True,True,0.2368709022249717,1.0171312328305088e-14,converged,6,0.5,0.0036418838583348,True,True
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,140,3,420,588.0,504.0,7.56,7.40985,10.749919413512227,93.3530445761283,0.075,5.0,8.188,40.0,120.0,39.375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",42.0,262.26015114,401.2120000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1226.1911480502984,59.63573809740178,59.592426498500345,60.76735543172042,20,0.1232842690896225,0.5043279686531552,6.464830108921695,7.268200778406623,0.8033706694849275,6.905539308169589,7.698403189485505,0.792863881315918,5.448981676705919,6.46363460370794,1.040669668720022,3.302104387010285,0.4407091992478936,0.0105067881690095,0.7618841189767994,0.2539643132389759,0.1876076068106992,18.9802286773346,41.99999999869747,10.058999995510831,8.765284502024087,4.667850517985652,347.72592677024625,0.2835821538290721,15.997778215355902,38.116991438035086,98.92589793972634,21.020177018047704,32.97529931324211,7.006725672682568,18.974130591187315,424.5597645678846,587.9999874240285,94.4117968299393,98.69216184158854,83.96071814653702,50.366765628330704,22000.0,41.99999999869747,True,True,0.1910173596141255,-1.2739733499644057e-15,converged,6,0.5,0.0043279686531552,True,True
