cg_case,config_label,cg_height_in,cg_height_m,cg_x_m,rear_static_weight_fraction,rear_static_weight_percent,front_static_weight_fraction,total_mass_kg,sprung_mass_kg,front_antiroll_stiffness_fraction,front_elastic_roll_stiffness_fraction,front_brake_bias,front_aero_balance,tire_mu_scale,drive_distribution_front,limited_slip_differential_model,case_tuning_json,metadata_80kw_32kw_controlled_match,wheel_load_min_n_80kw,wheel_load_max_n_80kw,wheel_load_outside_tire_validity_80kw,wheel_load_min_n_32kw,wheel_load_max_n_32kw,wheel_load_outside_tire_validity_32kw,tire_valid_load_min_n,tire_valid_load_max_n
config_nominal_54,Config 1: nominal 54% rear,11.5,0.29209999999999997,-0.8366760000000001,0.54,54.0,0.45999999999999996,261.07265114,230.72288407999997,0.6515279307018157,0.5763631488143134,0.6996272063175089,0.5,0.622543713077903,0.0,False,"{""brake_distribution_front"": 0.6996272063175089, ""cg_height_in"": 11.5, ""cg_x_m"": -0.8366760000000001, ""front_antiroll_stiffness_fraction"": 0.6515279307018157, ""front_static_weight_fraction"": 0.45999999999999996, ""name"": ""config_nominal_54"", ""rear_static_weight_fraction"": 0.54, ""sprung_mass_kg"": 230.72288407999997, ""total_mass_kg"": 261.07265114}",True,289.7533668085225,1768.1765429144295,False,289.7533668085225,1552.4184288344497,False,100.0,1800.0
config_plus0p25_56p5,Config 2: +0.25 in / 56.5% rear,11.75,0.29845,-0.8754109999999999,0.565,56.49999999999999,0.435,261.07265114,230.72288407999997,0.5948513562400668,0.5462934115520719,0.688123642530445,0.5,0.622543713077903,0.0,False,"{""brake_distribution_front"": 0.688123642530445, ""cg_height_in"": 11.75, ""cg_x_m"": -0.8754109999999999, ""front_antiroll_stiffness_fraction"": 0.5948513562400668, ""front_static_weight_fraction"": 0.435, ""name"": ""config_plus0p25_56p5"", ""rear_static_weight_fraction"": 0.565, ""sprung_mass_kg"": 230.72288407999997, ""total_mass_kg"": 261.07265114}",True,247.84767409856659,1758.2424106005456,False,247.84767409856659,1530.862523006842,False,100.0,1800.0
