event_slug,event_name,config_1_case,config_2_case,config_1_raw_time_s,config_2_raw_time_s,config_2_minus_config_1_raw_time_s,config_2_minus_config_1_raw_time_percent,negative_raw_time_delta_is_faster,config_1_competition_time_s,config_2_competition_time_s,config_2_minus_config_1_competition_time_s,config_1_points,config_2_points,config_2_minus_config_1_points,positive_points_delta_favors_config_2,common_field_tmin_s,common_field_tmin_source
acceleration,Acceleration,config_nominal_54,config_plus0p25_56p5,3.8582095407563175,3.8186350353811616,-0.039574505375155944,-1.0257220339411173,True,3.8582095407563175,3.8186350353811616,-0.039574505375155944,88.029024100741,90.87411147862565,2.845087377884653,True,3.697,2026_real_field
skidpad,Skidpad,config_nominal_54,config_plus0p25_56p5,5.027785601458863,5.095116269559222,0.06733066810035915,1.339171425305456,True,5.027785601458863,5.095116269559222,0.06733066810035915,56.05624821928335,51.339106353725235,-4.717141865558112,True,4.782,2026_real_field
autocross,Autocross,config_nominal_54,config_plus0p25_56p5,55.35580486230231,55.749054161161126,0.39324929885881943,0.7104030008000569,True,55.35580486230231,55.749054161161126,0.39324929885881943,46.235354917131545,44.0975330122787,-2.137821904852842,True,43.937,2026_real_field
michigan_endurance,Endurance,config_nominal_54,config_plus0p25_56p5,63.78114090989665,64.28459690416078,0.5034559942641295,0.7893493077763529,True,1311.4262167515856,1321.777950515512,10.351733763926404,275.0,268.69115164925347,-6.30884835074653,True,1311.4262167515856,simulation:config_nominal_54
