link,length_in,stiffness_lbf_per_in,force_N_compression_positive,extension_mm,toe_contribution_deg
UCA_FORE,14.218448368229213,83863.03077552553,153.12332668618242,-0.01042600917370462,0.002177874252385166
UCA_AFT,10.008484450704811,119139.1342973068,202.3551844003136,-0.009698558641238765,0.0026772866577119917
LCA_FORE,14.965519737048895,79676.62961501406,-11.03980723865842,0.0007911846195956984,1.191551090751983e-05
LCA_AFT,11.791821063771275,101121.12171957194,156.7162796355444,-0.008849516332926393,0.0018919383926659266
TOE_ROD,12.624782730803723,94449.32229808887,-474.95942368947533,0.028714744963805765,0.01860522019503439
PULLROD,10.481744368186051,113759.89827649097,-3.539671915618818,0.00017767286912065362,8.579410886774736e-07
