candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,pack_aware_curve_points,pack_aware_full_soc,pack_aware_terminal_power_limit_kw,pack_aware_maximum_achievable_terminal_power_kw,pack_aware_maximum_achievable_wheel_power_kw,pack_aware_maximum_tractive_force_n,pack_aware_active_limiter_at_peak_terminal_power,pack_aware_reaches_79p9kw_terminal,raw_endurance_time_s,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,pack_aware_acceleration_raw_time_s,pack_aware_acceleration_converged,pack_aware_skidpad_raw_time_s,pack_aware_skidpad_converged,pack_aware_autocross_raw_time_s,pack_aware_autocross_converged,mass_isolated_acceleration_raw_time_s,mass_isolated_acceleration_converged,mass_isolated_skidpad_raw_time_s,mass_isolated_skidpad_converged,mass_isolated_autocross_raw_time_s,mass_isolated_autocross_converged,terminal_energy_kwh,pack_aware_acceleration_cohort_points,pack_aware_acceleration_cohort_point_loss,pack_aware_acceleration_cohort_time_rank,pack_aware_skidpad_cohort_points,pack_aware_skidpad_cohort_point_loss,pack_aware_skidpad_cohort_time_rank,pack_aware_autocross_cohort_points,pack_aware_autocross_cohort_point_loss,pack_aware_autocross_cohort_time_rank,pack_aware_cohort_nonenergy_points,pack_aware_cohort_performance_points_excluding_efficiency,pack_aware_cohort_full_dynamic_points,mass_isolated_acceleration_cohort_points,mass_isolated_acceleration_cohort_point_loss,mass_isolated_acceleration_cohort_time_rank,mass_isolated_skidpad_cohort_points,mass_isolated_skidpad_cohort_point_loss,mass_isolated_skidpad_cohort_time_rank,mass_isolated_autocross_cohort_points,mass_isolated_autocross_cohort_point_loss,mass_isolated_autocross_cohort_time_rank,mass_isolated_cohort_nonenergy_points,mass_isolated_cohort_performance_points_excluding_efficiency,mass_isolated_cohort_full_dynamic_points,endurance_cohort_points,endurance_cohort_point_loss,endurance_cohort_time_rank,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_fully_cohort_normalized_full_dynamic_points,pack_aware_cohort_nonenergy_points_rank,pack_aware_cohort_performance_points_excluding_efficiency_rank,pack_aware_cohort_full_dynamic_points_rank,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank,pack_aware_fully_cohort_normalized_full_dynamic_points_rank,mass_isolated_cohort_full_dynamic_points_with_inherited_efficiency,mass_isolated_fully_cohort_normalized_full_dynamic_points,mass_isolated_cohort_nonenergy_points_rank,mass_isolated_cohort_performance_points_excluding_efficiency_rank,mass_isolated_cohort_full_dynamic_points_rank,mass_isolated_cohort_full_dynamic_points_with_inherited_efficiency_rank,mass_isolated_fully_cohort_normalized_full_dynamic_points_rank,pack_aware_minus_mass_isolated_cohort_nonenergy_points,pack_aware_minus_mass_isolated_cohort_full_dynamic_points,pack_aware_minus_mass_isolated_fully_cohort_normalized_points
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,375,35.625,258.51015114,8.1,7.939125,47.671875,121,1.0,80.0,56.55194851595368,50.2315176285761,3471.857362953549,bus_current+motor_voltage,False,1216.8449572794348,63.86141684451132,0.1677885289061496,0.7193964338265985,84.7237074461808,4.342580605254257,True,4.794899035926109,True,52.254710652882935,True,4.247502178631121,True,4.794899035926109,True,52.17037644133791,True,6.692105632970218,93.95362161679631,6.046378383203688,71,72.0004252549235,2.999574745076501,108,122.29351527948806,2.706484720511938,107,288.2475621512079,562.7054925747095,647.4292000208903,97.15694265870837,2.843057341291626,108,72.0004252549235,2.999574745076501,108,121.58729051935836,3.412709480641638,108,290.74465843299026,565.2025888564918,649.9262963026727,274.4579304235016,0.5420695764984202,2,True,True,True,0.4259586922774473,24.544343058381234,24.544343058381234,0.7193964338265985,84.7237074461808,647.4292000208903,587.2498356330908,89,3,28,28,12,649.9262963026727,589.7469319148731,108,1,14,14,5,-2.497096281782376,-2.4970962817823192,-2.4970962817823192
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,440,36.85,259.73515114,7.92,7.762699999999999,48.71875,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1216.0261253241367,63.81844360580077,0.1696885045599506,0.7118204583600724,83.23237369292762,4.292370329604366,True,4.797431016765577,True,52.23341125715974,True,4.250501074226722,True,4.797431016765577,True,52.20290269935094,True,6.767884578397529,97.23424573985227,2.7657542601477303,36,71.79400062472676,3.2059993752732368,115,122.44811312373255,2.551886876267446,101,291.4763594883116,566.4763594883116,649.7087331812392,96.9568115350724,3.0431884649275958,115,71.79400062472676,3.2059993752732368,115,121.35150656458914,3.648493435410856,115,290.10231872438834,565.1023187243884,648.334692417316,275.0,0.0,1,True,True,True,0.4214729144076819,23.73260726095702,23.73260726095702,0.7118204583600724,83.23237369292762,649.7087331812392,590.2089667492686,59,1,17,17,1,648.334692417316,588.8349259853454,115,2,18,18,8,1.374040763923233,1.3740407639231762,1.3740407639231762
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,48.25,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1218.4728918638116,63.94685271575076,0.1698200357068107,0.7098408592282298,82.8426888244547,4.299477094597742,True,4.803090401087801,True,52.30643349836143,True,4.257232640246016,True,4.803090401087801,True,52.2756265575398,True,6.773130588566114,96.76525089218129,3.2347491078187147,41,71.33378812824309,3.6662118717569143,126,121.91861838639046,3.081381613609537,120,290.0176574068148,563.400053607548,646.2427424320027,96.5086076426122,3.491392357387795,126,71.33378812824309,3.6662118717569143,126,120.82539023701841,4.174609762981589,126,288.6677860078737,562.0501822086069,644.8928710330616,273.3823962007332,1.617603799266817,3,True,True,True,0.42030078257913245,23.52050104612484,23.52050104612484,0.7098408592282298,82.8426888244547,646.2427424320027,586.9205546536729,72,2,30,30,14,644.8928710330616,585.5706832547318,126,4,33,33,21,1.3498713989411044,1.3498713989411044,1.3498713989411044
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,47.9375,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1219.981716255776,64.02603754769176,0.1697987203000166,0.7090519550750897,82.68739273131688,4.303741338746866,True,4.806470102955475,True,52.35005557404894,True,4.261271224332836,True,4.806470102955475,True,52.319068393338256,True,6.772280441331341,96.48458528203129,3.51541471796871,43,71.05973087352112,3.9402691264788814,128,121.60301325238373,3.3969867476162676,125,289.1473294079361,561.5354474362402,644.2228401675571,96.24038860676868,3.7596113932313244,128,71.05973087352112,3.9402691264788814,128,120.51181071886157,4.488189281138432,128,287.81193019915133,560.2000482274555,642.8874409587723,272.38811802830406,2.6118819716959365,4,True,True,True,0.41983366797360633,23.435973087359667,23.435973087359667,0.7090519550750897,82.68739273131688,644.2228401675571,584.9714205235999,82,6,36,36,27,642.8874409587723,583.6360213148151,128,6,38,38,33,1.3353992087847928,1.3353992087847928,1.3353992087847928
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,42.29296875,121,1.0,80.0,54.28987098119978,48.204396446908646,3471.857362953549,bus_current+motor_voltage,False,1221.9283921512442,64.12820132794819,0.1614110880275468,0.7447091204906438,89.70651978162279,4.353876365797747,True,4.791944925095995,True,52.23483869258638,True,4.244013571977018,True,4.791944925095995,True,52.132434958521685,True,6.437746718771118,93.22600863765345,6.77399136234655,79,72.24167855998337,2.75832144001663,99,122.43774839806495,2.5622516019350456,102,287.90543559570176,559.0143697497097,648.7208895313324,97.39011050345229,2.6098894965477086,99,72.24167855998337,2.75832144001663,99,121.86270139568968,3.137298604310317,99,291.49449045912536,562.6034246131333,652.309944394756,271.10893415400795,3.8910658459920455,5,True,True,True,0.4409464770404234,27.256497286569346,27.256497286569346,0.7447091204906438,89.70651978162279,648.7208895313324,586.270867036279,90,8,22,22,17,652.309944394756,589.8599218997026,99,3,8,8,4,-3.5890548634235984,-3.5890548634235984,-3.5890548634235984
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,43.25,121,1.0,80.0,79.99999934839148,69.07638665083184,3471.857362953549,terminal_power_limit+motor_voltage,True,1224.091904117029,64.24174491348758,0.1636769607866896,0.733101681686735,87.42159088321556,4.272030518165478,True,4.801961207674562,True,52.27164714591756,True,4.2558864450073015,True,4.801961207674562,True,52.26111418781777,True,6.528119165290004,98.58514925811225,1.4148507418877472,27,71.42548248759657,3.574517512403432,123,122.17067470373871,2.8293252962612883,114,292.18130644944756,561.8733447721884,649.294935655404,96.59812714578662,3.40187285421338,123,71.42548248759657,3.574517512403432,123,120.9302621501106,4.069737849889407,123,288.9538717834938,558.6459101062346,646.0675009894502,269.69203832274087,5.307961677259129,7,True,True,True,0.434073646955203,26.01280614274566,26.01280614274566,0.733101681686735,87.42159088321556,649.294935655404,587.886150914934,46,5,21,21,8,646.0675009894502,584.6587162489802,123,10,30,30,25,3.2274346659537514,3.2274346659537514,3.2274346659537514
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,42.625,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1222.1493185723816,64.13979579952637,0.1620907479886837,0.7414524376582187,89.06544048390131,4.299172048294293,True,4.793967183287888,True,52.19845977482135,True,4.246400595496384,True,4.793967183287888,True,52.15840723381881,True,6.464854389862106,96.78534988257046,3.2146501174295423,40,72.07647869258236,2.9235213074176443,106,122.70207557462301,2.2979244253769906,85,291.5639041497758,562.5279224052327,651.593362889134,97.23052773318656,2.7694722668134375,106,72.07647869258236,2.9235213074176443,106,121.67412973122494,3.3258702687750628,106,290.98113615699384,561.9451544124508,651.0105948963521,270.96401825545695,4.035981744543051,6,True,True,True,0.43901817673862265,26.90755660591156,26.90755660591156,0.7414524376582187,89.06544048390131,651.593362889134,589.4354790111443,56,4,9,9,3,651.0105948963521,588.8527110183624,106,5,11,11,7,0.5827679927819531,0.5827679927818963,0.5827679927818963
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,38.40625,121,1.0,80.0,79.99999983734592,71.3673349080841,3471.857362953549,terminal_power_limit+motor_voltage,True,1230.7658992083143,64.59200381869417,0.1565412818700956,0.7623623728120509,93.18156945119112,4.263453524122029,True,4.798307859449993,True,52.2216305153007,True,4.2515414336223945,True,4.798307859449993,True,52.21416859008002,True,6.243518558895058,99.15866873316415,0.8413312668358515,14,71.72259049746975,3.277409502530247,116,122.53367569174394,2.4663243082560626,94,293.4149349223778,558.7675220815853,651.9490915327764,96.887449172797,3.1125508272029947,116,71.72259049746975,3.277409502530247,116,121.26990823224506,3.730091767754942,116,289.87994790251184,555.2325350617193,648.4141045129104,265.3525871592075,9.647412840792526,15,True,True,True,0.45139906746163605,29.147973428957,29.147973428957,0.7623623728120509,93.18156945119112,651.9490915327764,587.9154955105423,36,10,8,8,7,648.4141045129104,584.3805084906763,116,16,17,17,26,3.53498701986598,3.53498701986598,3.53498701986598
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,42.3125,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1224.5565037342585,64.26612763344237,0.1622139830349857,0.73943274044497,88.66786229231694,4.306060450129884,True,4.799389892434655,True,52.26855210252506,True,4.252826585744518,True,4.799389892434655,True,52.228071626686514,True,6.46976951697427,96.33217851009974,3.6678214899002626,45,71.63452360255769,3.3654763974423076,119,122.19311714386038,2.806882856139623,112,290.15981925651784,559.5482417602491,648.216104052566,96.80181295548485,3.1981870445151515,119,71.63452360255769,3.3654763974423076,119,121.16925769997776,3.830742300022237,119,289.6055942580203,558.9940167617515,647.6618790540684,269.38842250373125,5.611577496268751,8,True,True,True,0.4378223026095619,26.69115404030193,26.69115404030193,0.73943274044497,88.66786229231694,648.216104052566,586.239395800551,69,7,24,24,19,647.6618790540684,585.6851708020534,119,9,22,22,20,0.5542249984975456,0.5542249984976024,0.5542249984976024
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,42.34375,121,1.0,80.0,62.468883451751154,55.54452190354812,3471.857362953549,bus_current+motor_voltage,False,1226.6641530826705,64.37673948485022,0.1555577921631464,0.7697476098985587,94.63535627924384,4.312557611493355,True,4.796605003337477,True,52.24204567258141,True,4.249521856560609,True,4.796605003337477,True,52.19229084544618,True,6.204292891617624,95.90607259613711,4.093927403862892,52,71.86130703995367,3.1386929600463276,112,122.3854265744544,2.6145734255456006,105,290.1528062105452,558.1667682314412,652.8021245106851,97.02212851114747,2.9778714888525286,112,71.86130703995367,3.1386929600463276,112,121.4283999564097,3.571600043590294,112,290.31183550751086,558.3257975284068,652.9611538076507,268.013962020896,6.986037979104026,10,True,True,True,0.4557719080591276,29.93927236360519,29.93927236360519,0.7697476098985587,94.63535627924384,652.8021245106851,588.1060405950464,70,11,4,4,6,652.9611538076507,588.265069892012,112,11,5,5,10,-0.15902929696568435,-0.1590292969656275,-0.1590292969656275
