candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,pack_mass_kg,vehicle_mass_kg,simulation_mode,simulation_mode_short,event_slug,event_name,raw_simulated_time_s,cohort_tmin_s,tmax_s,points,maximum_points,point_loss_vs_event_max,is_cohort_fastest,time_rank
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.35005557404894,51.88432241379922,75.23226750000886,121.60301325238373,125.0,3.3969867476162676,False,125
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.261271224332836,4.205352467457964,6.308028701186947,96.24038860676868,100.0,3.7596113932313244,False,128
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.806470102955475,4.758553193051323,5.948191491314154,71.05973087352112,75.0,3.9402691264788814,False,128
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.319068393338256,51.70409358243788,74.97093569453492,120.51181071886157,125.0,4.488189281138432,False,128
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1219.981716255776,1216.0261253241367,1763.2378817199983,272.38811802830406,275.0,2.6118819716959365,False,4
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.353876365797747,4.250933535449968,6.376400303174952,93.22600863765345,100.0,6.77399136234655,False,79
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.791944925095995,4.758553193051323,5.948191491314154,72.24167855998337,75.0,2.75832144001663,False,99
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.23483869258638,51.88432241379922,75.23226750000886,122.43774839806495,125.0,2.5622516019350456,False,102
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.244013571977018,4.205352467457964,6.308028701186947,97.39011050345229,100.0,2.6098894965477086,False,99
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.791944925095995,4.758553193051323,5.948191491314154,72.24167855998337,75.0,2.75832144001663,False,99
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.132434958521685,51.70409358243788,74.97093569453492,121.86270139568968,125.0,3.137298604310317,False,99
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,34.2,257.08515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1221.9283921512442,1216.0261253241367,1763.2378817199983,271.10893415400795,275.0,3.8910658459920455,False,5
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.272030518165478,4.250933535449968,6.376400303174952,98.58514925811225,100.0,1.4148507418877472,False,27
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.801961207674562,4.758553193051323,5.948191491314154,71.42548248759657,75.0,3.574517512403432,False,123
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.27164714591756,51.88432241379922,75.23226750000886,122.17067470373871,125.0,2.8293252962612883,False,114
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.2558864450073015,4.205352467457964,6.308028701186947,96.59812714578662,100.0,3.40187285421338,False,123
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.801961207674562,4.758553193051323,5.948191491314154,71.42548248759657,75.0,3.574517512403432,False,123
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.26111418781777,51.70409358243788,74.97093569453492,120.9302621501106,125.0,4.069737849889407,False,123
