candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
tenpower_60xg_125s3p,63.86141684451132,0.1677885289061496,0.7193964338265985,84.7237074461808,0.7193964338265985,84.7237074461808,647.4292000208903,28
reliance_rs50_110s4p,63.81844360580077,0.1696885045599506,0.7118204583600724,83.23237369292762,0.7118204583600724,83.23237369292762,649.7087331812392,17
ampace_jp50_110s4p,63.94685271575076,0.1698200357068107,0.7098408592282298,82.8426888244547,0.7098408592282298,82.8426888244547,646.2427424320027,30
tenpower_50xg_110s4p,64.02603754769176,0.1697987203000166,0.7090519550750897,82.68739273131688,0.7090519550750897,82.68739273131688,644.2228401675571,36
tenpower_60xg_120s3p,64.12820132794819,0.1614110880275468,0.7447091204906438,89.70651978162279,0.7447091204906438,89.70651978162279,648.7208895313324,22
molicel_p50b_110s4p,64.24174491348758,0.1636769607866896,0.733101681686735,87.42159088321556,0.733101681686735,87.42159088321556,649.294935655404,21
reliance_rs50_140s3p,64.13979579952637,0.1620907479886837,0.7414524376582187,89.06544048390131,0.7414524376582187,89.06544048390131,651.593362889134,9
molicel_p50b_140s3p,64.59200381869417,0.1565412818700956,0.7623623728120509,93.18156945119112,0.7623623728120509,93.18156945119112,651.9490915327764,8
ampace_jp50_140s3p,64.26612763344237,0.1622139830349857,0.73943274044497,88.66786229231694,0.73943274044497,88.66786229231694,648.216104052566,24
ampace_jp50_135s3p,64.37673948485022,0.1555577921631464,0.7697476098985587,94.63535627924384,0.7697476098985587,94.63535627924384,652.8021245106851,4
tenpower_50xg_140s3p,64.3519156390832,0.1620901392022276,0.7390112025371145,88.58488238919577,0.7390112025371145,88.58488238919577,646.2288252084787,31
tenpower_60xg_115s3p,64.45895695693413,0.1548242255731323,0.7724082550185581,95.1591053186138,0.7724082550185581,95.1591053186138,649.5787129860388,20
reliance_rs50_135s3p,64.42851284956528,0.1562886284210438,0.7655324590891427,93.8056021829021,0.7655324590891427,93.8056021829021,652.6929781826391,5
tenpower_60xg_110s3p,64.66445728958976,0.1473357491983577,0.8090871874466345,100.0,0.8090871874466345,100.0,651.2502143168862,11
molicel_p50b_135s3p,64.88230341144194,0.1511161436304715,0.786198072852037,97.87363638819627,0.786198072852037,97.87363638819627,653.7668611978424,3
tenpower_50xg_135s3p,64.44990296844485,0.1555993149189899,0.768668613662545,94.42295544538288,0.768668613662545,94.42295544538288,650.8701244939581,13
reliance_rs50_130s3p,64.56682370464704,0.1497306046797939,0.7973501787126814,100.0,0.7973501787126814,100.0,657.0359552624177,1
molicel_p50b_130s3p,65.22940369740142,0.1455965576856349,0.8116608174705061,100.0,0.8116608174705061,100.0,652.290833955311,6
reliance_rs50_125s3p,65.14447216119498,0.1444082219964196,0.8194068803488813,100.0,0.8194068803488813,100.0,649.7281116700992,16
ampace_jp50_130s3p,64.68633007541843,0.1498458080278703,0.7952652139230861,99.65850667777283,0.7952652139230861,99.65850667777283,653.9030261787558,2
tenpower_50xg_130s3p,64.76663327009823,0.1498265219293848,0.7943814181849921,99.48453113877795,0.7943814181849921,99.48453113877795,651.9554717434279,7
tenpower_30xg_130s5p,64.91149155505744,0.1528319926645396,0.7770218518798975,96.06729367714516,0.7770218518798975,96.06729367714516,650.0188559453335,15
ampace_jp50_125s3p,65.27129259188641,0.1444091140694857,0.8178097420363502,100.0,0.8178097420363502,100.0,646.9162540946015,29
tenpower_30xg_125s5p,65.2741175997025,0.1466585333004628,0.8052314886560716,100.0,0.8052314886560716,100.0,650.3290645676492,14
ampace_jp30_130s5p,65.00030668538405,0.1527549649345196,0.7763514278076739,95.93532043458148,0.7763514278076739,95.93532043458148,647.9535644135468,26
