case,completed,vehicle_mass_kg,capacity_ah,pack_resistance_ohm,elapsed_time_s,final_soc,terminal_energy_kwh,maximum_terminal_power_w,completed_laps,distance_m,minimum_terminal_voltage_v
130s4p,False,253.43515114000002,12.0,0.23461836796223398,794.8723441532271,0.05,5.239684019809066,59999.999993847225,13,14517.418016822248,379.618568310323
130s5p,False,261.07265114,15.0,0.18769469436978717,998.5972741185466,0.05,6.617443181362287,59999.999995248814,16,18159.10369330902,386.3696252057242
130s6p,False,268.71015114,18.0,0.15641224530815598,1202.8311245401014,0.05,7.995187617772132,59999.99999796525,20,21750.056129436594,389.299604952904
130s7p,True,276.34765114,21.0,0.13406763883556228,1246.6448267592166,0.16813782751396494,8.33864611121869,59999.99998971545,21,22469.34423300001,424.97270809562895
