"Index","Length_m","TotalLength_m","Radius_m","Direction","Grade","X_m","Y_m","Z_m","CarAttitude","Sector"
"0","0.25","0.25","31.0634604898329","1","0","0.245952640507308","-0.000973710728476342","0","0","0"
"1","0.25","0.5","31.0381788517278","1","0","0.504062557115474","-0.0149216695515341","0","0.0075268265281623","0"
"2","0.25","0.75","31.0128972136226","1","0","0.762160341778879","-0.026921397966467","0","0.0150630375912961","0"
"3","0.25","1","30.9876155755174","1","0","1.02023053053975","-0.0369714137362481","0","0.0226144753398142","0"
"4","0.25","1.25","31.0240385792394","1","0","1.27824953865967","-0.0450686036376036","0","0.0301600785795161","0"
"5","0.25","1.5","31.0604615829614","1","0","1.53620194245534","-0.0512158042498973","0","0.0376998823374551","0"
"6","0.25","1.75","31.0968845866834","1","0","1.79407237826579","-0.0554159674815591","0","0.0452339213550371","0"
"7","0.25","2","31.1333075904054","1","0","2.05184554314907","-0.0576721596773728","0","0.0527622300887999","0"
"8","0.25","2.25","31.1697305941274","1","0","2.30950619556857","-0.057987560724521","0","0.0602766081604582","0"
"9","0.25","2.5","31.1165326329743","1","0","2.56705098632466","-0.0563675094931532","0","0.0678065530957644","0"
"10","0.25","2.75","31.0548202611769","1","0","2.82446552970126","-0.0528097550731466","0","0.0753550387336908","0"
"11","0.25","3","30.9931078893795","1","0","3.08173419921871","-0.0473114174053379","0","0.0829221700366221","0"
"12","0.25","3.25","30.9313955175821","1","0","3.33884128234677","-0.0398697294374183","0","0.0905080526783487","0"
"13","0.25","3.5","30.8696831457848","1","0","3.59577098089132","-0.0304820384981682","0","0.0980882830840406","0"
"14","0.25","3.75","30.5501967174565","1","0","3.85254167214285","-0.0191506005956513","0","0.10575428204493","0"
"15","0.25","4","30.2521988806026","1","0","4.10913269317912","-0.00585552873232825","0","0.113500244018283","0"
"16","0.25","4.25","29.9542010437488","1","0","4.36552586935046","0.00942147502810006","0","0.121327813325709","0"
"17","0.25","4.5","29.6562032068949","1","0","4.6217025085384","0.0266989163060173","0","0.129238685002123","0"
"18","0.25","4.75","29.358205370041","1","0","4.87764338384857","0.045995510163761","0","0.137234606886376","0"
"19","0.25","5","29.0602075331871","1","0","5.13332871558978","0.0673301827832506","0","0.145322804735254","0"
"20","0.25","5.25","28.8107927644666","1","0","5.38873162529376","0.0907228718994511","0","0.153466125707908","0"
"21","0.25","5.5","28.3887433228654","1","0","5.64385497809988","0.116186545997178","0","0.161735599672389","0"
"22","0.25","5.75","27.9666938812643","1","0","5.8986757415948","0.143750051194834","0","0.170135097568862","0"
"23","0.25","6","27.5446444396632","1","0","6.15316992762629","0.173442883059345","0","0.178668670027362","0"
"24","0.25","6.25","27.122594998062","1","0","6.40731254271867","0.205295207219498","0","0.187318636442986","0"
"25","0.25","6.5","26.5389375624069","1","0","6.66109954423559","0.23933516962452","0","0.196195183892919","0"
"26","0.25","6.75","26.1730796898572","1","0","6.91447123001601","0.275611743205885","0","0.205201786658574","0"
"27","0.25","7","25.8072218173074","1","0","7.16739995519151","0.31415268670105","0","0.214342215519023","0"
"28","0.25","7.25","25.4413639447577","1","0","7.4198570199991","0.354986264175126","0","0.223620406205786","0"
