candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,simulation_mode,event_slug,event_name,raw_simulated_time_s,projected_competition_time_s,event_winner_tmin_s,tmax_s,points,maximum_points,solver_converged,solver_iterations,maximum_speed_mps,maximum_achievable_terminal_power_kw,maximum_achievable_wheel_power_kw,active_limiter_at_peak_terminal_power
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,34.8671875,mass_isolated_common_80kw_curve,autocross,Autocross,52.275626557539795,43.96837489141279,43.937,63.70864999999999,124.72753190444934,125.0,True,2,32.74200054409584,,80.0,common_vehicle_curve
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.303741338746866,3.713860408457524,3.697,5.5455000000000005,98.69932994463652,100.0,True,2,31.980003658277386,67.86742957933734,60.44989780388532,bus_current+motor_voltage
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.806470102955475,4.788258556288472,4.782,5.9775,74.48114478290637,75.0,True,1,11.928518164038666,67.86742957933734,60.44989780388532,bus_current+motor_voltage
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.35005557404894,44.01306347572961,43.937,63.70864999999999,124.34011477072542,125.0,True,2,31.270368414621302,67.86742957933734,60.44989780388532,bus_current+motor_voltage
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.261271224332836,3.703514871857494,3.697,5.5455000000000005,99.49601639206163,100.0,True,2,33.98099976903638,,80.0,common_vehicle_curve
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.806470102955475,4.788258556288472,4.782,5.9775,74.48114478290637,75.0,True,1,11.928518164038666,,80.0,common_vehicle_curve
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,mass_isolated_common_80kw_curve,autocross,Autocross,52.319068393338256,44.00491327551528,43.937,63.70864999999999,124.4107123401147,125.0,True,2,32.70148341520233,,80.0,common_vehicle_curve
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.353876365797747,3.7571238105502323,3.697,5.5455000000000005,95.41525044389769,100.0,True,2,30.328066972227408,54.28987098119978,48.204396446908646,bus_current+motor_voltage
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.791944925095995,4.773788413818533,4.782,5.9775,75.0,75.0,True,1,11.964675476078144,54.28987098119978,48.204396446908646,bus_current+motor_voltage
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.23483869258638,43.91619542350541,43.937,63.70864999999999,125.0,125.0,True,2,29.94387032737485,54.28987098119978,48.204396446908646,bus_current+motor_voltage
