candidate_id,previous_raw_endurance_time_s,previous_endurance_points,previous_efficiency_points,previous_pack_aware_performance_points_excluding_efficiency,previous_pack_aware_full_dynamic_points,previous_pack_aware_full_dynamic_points_rank,refreshed_raw_endurance_time_s,refreshed_endurance_points,refreshed_efficiency_points,refreshed_pack_aware_performance_points_excluding_efficiency,refreshed_pack_aware_full_dynamic_points,refreshed_pack_aware_full_dynamic_points_rank,refreshed_endurance_terminal_power_limit_kw,refreshed_terminal_energy_kwh,refreshed_terminal_discharge_energy_kwh,refreshed_terminal_regenerated_energy_kwh,refreshed_pack_resistive_heat_kwh,refreshed_regen_pack_resistive_heat_kwh,refreshed_regen_active_rms_terminal_power_kw,refreshed_regen_whole_event_rms_terminal_power_kw,refreshed_regen_active_rms_error_kw,refreshed_peak_pack_charge_current_a,refreshed_maximum_terminal_voltage_v,refreshed_adiabatic_cell_temperature_rise_c,raw_endurance_time_s_change,endurance_points_change,efficiency_points_change,pack_aware_performance_points_excluding_efficiency_change,pack_aware_full_dynamic_points_change,pack_aware_full_dynamic_points_rank_change
tenpower_60xg_125s3p,1236.396184147111,275.0,84.3438519685037,571.1485579981015,655.4924099666052,48.0,1216.8449572794348,275.0,84.7237074461808,571.1485579981015,655.8722654442823,51.0,47.671875,6.692105632970218,7.506962148944676,0.814856515974457,0.7426867761479552,0.0147918124041345,8.767847864365564,4.716996403647084,0.1935807219556018,23.40168852387305,524.9999879535799,93.81306646079436,-19.551226867676178,0.0,0.37985547767709704,0.0,0.37985547767709704,3.0
reliance_rs50_110s4p,1237.5581472220997,275.0,84.25722495596487,574.4548575294464,658.7120824854112,42.0,1216.0261253241367,275.0,83.23237369292762,574.4548575294464,657.687231222374,45.0,48.71875,6.767884578397529,7.594739263423245,0.8268546850257146,0.4913307995306049,0.0103736953827381,8.802970363471472,4.762103737964253,0.2287032210615098,26.809140659664333,461.9999930671231,59.99969058039951,-21.532021897962977,0.0,-1.0248512630372488,0.0,-1.0248512630372488,3.0
ampace_jp50_110s4p,1240.211626652855,275.0,83.92283468878385,573.4002134175698,657.3230481063537,44.0,1218.4728918638116,275.0,82.8426888244547,573.4002134175698,656.2429022420246,49.0,48.25,6.773130588566114,7.601280556181717,0.828149967615601,0.4888778196775082,0.010394314176565,8.806809553496507,4.761410835134383,0.2325424110865448,26.81265203583804,461.99999297767965,55.55429769062594,-21.73873478904352,0.0,-1.080145864329154,0.0,-1.080145864329097,5.0
tenpower_50xg_110s4p,1241.7179854302497,275.0,83.67683014417838,572.5205894982682,656.1974196424467,46.0,1219.981716255776,275.0,82.68739273131688,572.5205894982682,655.2079822295851,52.0,47.9375,6.772280441331341,7.601831367183011,0.8295509258516703,0.4867962256114885,0.0104128216532097,8.811138044634934,4.7630775127688585,0.2368709022249717,26.808837946936087,461.99999294372645,53.105042793980566,-21.73626917447359,0.0,-0.9894374128615055,0.0,-0.9894374128615482,6.0
tenpower_60xg_120s3p,1244.122620288108,275.0,89.40962966353804,570.4152504438977,659.8248801074357,38.0,1221.9283921512442,275.0,89.70651978162279,570.4152504438977,660.1217702255204,42.0,42.29296875,6.437746718771118,7.231501297145951,0.7937545783748324,0.6853750499444567,0.0149334562828486,8.740314477090998,4.640251681300671,0.1660473346810356,24.33304321762317,503.9999879767256,90.18092762427062,-22.194228136863785,0.0,0.29689011808474675,0.0,0.29689011808477517,4.0
molicel_p50b_110s4p,1244.9442098377676,275.0,86.88744101250059,574.7652065448627,661.6526475573634,35.0,1224.091904117029,275.0,87.42159088321556,574.7652065448627,662.1867974280783,35.0,43.25,6.528119165290004,7.331339673007764,0.8032205077177594,0.7321648939345027,0.0154634554808623,8.74125534875837,4.665674434494621,0.1669882063484085,26.53468974479215,461.9999898360911,84.37239494763796,-20.85230572073874,0.0,0.5341498707149697,0.0,0.5341498707149412,0.0
reliance_rs50_140s3p,1246.6934619029837,275.0,89.9170015467178,574.0024484429794,663.9194499896971,30.0,1222.1493185723816,275.0,89.06544048390131,574.0024484429794,663.0678889268806,32.0,42.625,6.464854389862106,7.266536296487169,0.8016819066250632,0.4453245152475492,0.01048421905022,8.765659244852497,4.669965589365278,0.1913921024425349,21.025211221523985,587.9999875595735,56.97115333657346,-24.544143330602083,0.0,-0.8515610628164865,0.0,-0.8515610628164723,2.0
molicel_p50b_140s3p,1248.1709229430533,275.0,94.33057363124465,575.0,669.3305736312446,19.0,1230.7658992083143,275.0,93.18156945119112,575.0,668.1815694511911,21.0,38.40625,6.243518558895058,7.018815098628727,0.775296539733668,0.6643686513273198,0.0155387084181101,8.693807840071809,4.562568651480566,0.1195406976618471,20.797935604132835,587.999981818378,80.20547098518952,-17.40502373473896,0.0,-1.1490041800535238,0.0,-1.1490041800535664,2.0
ampace_jp50_140s3p,1249.441301261939,275.0,89.63508308744112,573.4802170626772,663.1153001501183,31.0,1224.5565037342585,275.0,88.66786229231694,573.4802170626772,662.1480793549941,36.0,42.3125,6.46976951697427,7.27225673743001,0.8024872204557396,0.4435841752383889,0.0105009109395517,8.763877502952093,4.668688913670316,0.1896103605421313,21.02849468235937,587.9999874415556,52.80763990933202,-24.884797527680576,0.0,-0.9672207951241774,0.0,-0.9672207951241489,5.0
ampace_jp50_135s3p,1249.7594790950031,275.0,95.67533381443394,573.11628959911,668.7916234135439,20.0,1226.6641530826705,275.0,94.63535627924385,573.11628959911,667.7516458783539,23.0,42.34375,6.204292891617624,6.934575152143184,0.7302822605255596,0.4388798516105673,0.0101395093884748,8.893430906645259,4.507507877565952,0.3191637642352969,21.76479609555712,566.9999876004116,54.18269772969968,-23.095326012332634,0.0,-1.03997753519009,0.0,-1.039977535190019,3.0
