parameter,parameter_label,parameter_group,metric,metric_display_name,pearson_r,abs_pearson_r,rank_within_metric
front_static_frac,front static load fraction,chassis,max_lateral_g__20mps,lat 20,0.150001554844609,0.150001554844609,9
front_static_frac,front static load fraction,chassis,max_accel_g__20mps,accel 20,-0.2254502557382803,0.2254502557382803,5
front_static_frac,front static load fraction,chassis,max_brake_g__20mps,brake 20,-0.5880976768826808,0.5880976768826808,2
front_static_frac,front static load fraction,chassis,ggv_area_g2__20mps,area 20,-0.16235257210114698,0.16235257210114698,13
front_static_frac,front static load fraction,chassis,max_lateral_g__25mps,lat 25,0.09631691326220765,0.09631691326220765,12
front_static_frac,front static load fraction,chassis,max_accel_g__25mps,accel 25,0.06951500309805732,0.06951500309805732,12
front_static_frac,front static load fraction,chassis,max_brake_g__25mps,brake 25,-0.5329408661402126,0.5329408661402126,2
front_static_frac,front static load fraction,chassis,ggv_area_g2__25mps,area 25,-0.14465118444182712,0.14465118444182712,13
front_static_frac,front static load fraction,chassis,mean_max_lateral_g,mean lat,0.21002692019458238,0.21002692019458238,7
front_static_frac,front static load fraction,chassis,mean_max_accel_g,mean accel,-0.13823522280662134,0.13823522280662134,8
front_static_frac,front static load fraction,chassis,mean_max_brake_g,mean brake,-0.6177356650679754,0.6177356650679754,2
front_static_frac,front static load fraction,chassis,mean_ggv_area_g2,mean area,-0.1091979220088968,0.1091979220088968,16
wheelbase_m,wheelbase,chassis,max_lateral_g__05mps,lat 5,-0.0218707972408895,0.0218707972408895,18
wheelbase_m,wheelbase,chassis,max_accel_g__05mps,accel 5,0.26137538572924435,0.26137538572924435,2
wheelbase_m,wheelbase,chassis,max_brake_g__05mps,brake 5,0.20965981047010224,0.20965981047010224,7
wheelbase_m,wheelbase,chassis,ggv_area_g2__05mps,area 5,0.26587298817302135,0.26587298817302135,4
wheelbase_m,wheelbase,chassis,max_lateral_g__10mps,lat 10,-0.025863879408312238,0.025863879408312238,19
wheelbase_m,wheelbase,chassis,max_accel_g__10mps,accel 10,0.25238700800657,0.25238700800657,3
wheelbase_m,wheelbase,chassis,max_brake_g__10mps,brake 10,0.21179714754986756,0.21179714754986756,7
wheelbase_m,wheelbase,chassis,ggv_area_g2__10mps,area 10,0.2827905442004154,0.2827905442004154,3
wheelbase_m,wheelbase,chassis,max_lateral_g__15mps,lat 15,0.025131571017828275,0.025131571017828275,17
wheelbase_m,wheelbase,chassis,max_accel_g__15mps,accel 15,0.2499249517784138,0.2499249517784138,3
wheelbase_m,wheelbase,chassis,max_brake_g__15mps,brake 15,0.2177925633937299,0.2177925633937299,8
wheelbase_m,wheelbase,chassis,ggv_area_g2__15mps,area 15,0.26841936911262865,0.26841936911262865,3
wheelbase_m,wheelbase,chassis,max_lateral_g__20mps,lat 20,-0.010471976917242568,0.010471976917242568,18
wheelbase_m,wheelbase,chassis,max_accel_g__20mps,accel 20,0.17179440711608487,0.17179440711608487,7
wheelbase_m,wheelbase,chassis,max_brake_g__20mps,brake 20,0.22122638565755529,0.22122638565755529,8
wheelbase_m,wheelbase,chassis,ggv_area_g2__20mps,area 20,0.21733045912342044,0.21733045912342044,6
wheelbase_m,wheelbase,chassis,max_lateral_g__25mps,lat 25,0.005286304705577096,0.005286304705577096,20
wheelbase_m,wheelbase,chassis,max_accel_g__25mps,accel 25,-0.002118588074873112,0.002118588074873112,19
wheelbase_m,wheelbase,chassis,max_brake_g__25mps,brake 25,0.22945655172495938,0.22945655172495938,10
wheelbase_m,wheelbase,chassis,ggv_area_g2__25mps,area 25,0.13841976111588056,0.13841976111588056,15
wheelbase_m,wheelbase,chassis,mean_max_lateral_g,mean lat,-0.004137495663170226,0.004137495663170226,20
wheelbase_m,wheelbase,chassis,mean_max_accel_g,mean accel,0.23539624676578036,0.23539624676578036,3
wheelbase_m,wheelbase,chassis,mean_max_brake_g,mean brake,0.2240050478095922,0.2240050478095922,8
wheelbase_m,wheelbase,chassis,mean_ggv_area_g2,mean area,0.23760077671301122,0.23760077671301122,3
track_front_m,front track,chassis,max_lateral_g__05mps,lat 5,0.16843425128473208,0.16843425128473208,6
track_front_m,front track,chassis,max_accel_g__05mps,accel 5,-0.10977888177534995,0.10977888177534995,9
track_front_m,front track,chassis,max_brake_g__05mps,brake 5,0.14457744453501387,0.14457744453501387,8
track_front_m,front track,chassis,ggv_area_g2__05mps,area 5,0.04833643797975281,0.04833643797975281,17
track_front_m,front track,chassis,max_lateral_g__10mps,lat 10,0.1922556282699618,0.1922556282699618,6
track_front_m,front track,chassis,max_accel_g__10mps,accel 10,-0.09562535915376585,0.09562535915376585,13
track_front_m,front track,chassis,max_brake_g__10mps,brake 10,0.15084897892334492,0.15084897892334492,9
track_front_m,front track,chassis,ggv_area_g2__10mps,area 10,0.07721369038086293,0.07721369038086293,14
track_front_m,front track,chassis,max_lateral_g__15mps,lat 15,0.24921332575533517,0.24921332575533517,5
track_front_m,front track,chassis,max_accel_g__15mps,accel 15,-0.09637781849961806,0.09637781849961806,13
track_front_m,front track,chassis,max_brake_g__15mps,brake 15,0.15659523383462545,0.15659523383462545,11
track_front_m,front track,chassis,ggv_area_g2__15mps,area 15,0.12625888432063437,0.12625888432063437,14
track_front_m,front track,chassis,max_lateral_g__20mps,lat 20,0.3067020711664826,0.3067020711664826,5
track_front_m,front track,chassis,max_accel_g__20mps,accel 20,-0.06641546893021555,0.06641546893021555,13
track_front_m,front track,chassis,max_brake_g__20mps,brake 20,0.16759049356664713,0.16759049356664713,11
track_front_m,front track,chassis,ggv_area_g2__20mps,area 20,0.18331929960648422,0.18331929960648422,10
track_front_m,front track,chassis,max_lateral_g__25mps,lat 25,0.31118065959129126,0.31118065959129126,4
track_front_m,front track,chassis,max_accel_g__25mps,accel 25,0.02342346907557289,0.02342346907557289,16
track_front_m,front track,chassis,max_brake_g__25mps,brake 25,0.15826625416035256,0.15826625416035256,11
track_front_m,front track,chassis,ggv_area_g2__25mps,area 25,0.23802866929683958,0.23802866929683958,7
