case_id,parameter,level,value,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
baseline,,baseline,,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.33,2.06,9.0212,2.08,1.0675000000000001,2.28,9.950933333333335,1.8026666666666666,1.3265,1.932,8.17792
mass_kg_low,mass_kg,low,234.965386026,1.6,1.6099999999999999,1.7000000000000002,7.031733333333333,1.6533333333333335,1.575,1.7800000000000002,7.544533333333335,1.76,1.54,1.9200000000000002,8.447066666666666,1.9733333333333334,1.4875,2.12,9.752533333333337,2.1866666666666665,1.19,2.3600000000000003,10.869733333333333,1.8346666666666667,1.4805,1.9760000000000002,8.72912
mass_kg_high,mass_kg,high,287.17991625400003,1.5466666666666666,1.3125,1.6800000000000002,6.518266666666667,1.6533333333333335,1.295,1.74,6.905600000000001,1.7066666666666668,1.26,1.8600000000000003,7.5254666666666665,1.866666666666667,1.2075,2.02,8.478133333333334,2.026666666666667,0.9624999999999999,2.22,9.193333333333335,1.7600000000000002,1.2075,1.9040000000000004,7.72416
cg_height_m_low,cg_height_m,low,0.22961567837774427,1.7066666666666668,1.4349999999999998,1.8800000000000001,7.9436,1.76,1.4175,1.96,8.456933333333335,1.866666666666667,1.3825,2.1,9.324133333333336,2.026666666666667,1.33,2.28,10.577200000000001,2.2399999999999998,1.0675000000000001,2.52,11.56466666666667,1.9200000000000004,1.3265,2.1479999999999997,9.573306666666667
cg_height_m_high,cg_height_m,high,0.33961567837774426,1.4933333333333334,1.4349999999999998,1.5,5.610533333333334,1.5466666666666666,1.4175,1.58,6.015333333333336,1.6533333333333335,1.3825,1.6800000000000002,6.69,1.76,1.33,1.8399999999999999,7.616666666666668,1.9200000000000002,1.0675000000000001,2.0400000000000005,8.381733333333333,1.6746666666666665,1.3265,1.7280000000000002,6.862853333333334
front_static_frac_low,front_static_frac,low,0.4234962889419973,1.5466666666666666,1.4349999999999998,1.8800000000000001,6.621066666666666,1.6,1.4175,1.9400000000000002,7.098266666666669,1.7066666666666668,1.3825,2.06,7.921200000000001,1.866666666666667,1.33,2.2399999999999998,9.016533333333335,2.08,1.0675000000000001,2.46,10.137733333333335,1.7600000000000002,1.3265,2.1160000000000005,8.158960000000002
front_static_frac_high,front_static_frac,high,0.5434962889419973,1.6,1.4349999999999998,1.5,6.528533333333334,1.6533333333333335,1.4175,1.58,6.944266666666667,1.76,1.3825,1.7000000000000002,7.642399999999999,1.866666666666667,1.33,1.8800000000000001,8.614666666666666,2.08,1.0675000000000001,2.1,9.363066666666667,1.7920000000000003,1.3265,1.752,7.818586666666667
wheelbase_m_low,wheelbase_m,low,1.47193,1.6,1.4349999999999998,1.6400000000000001,6.578799999999999,1.6533333333333335,1.4175,1.7000000000000002,7.0156,1.76,1.3825,1.8399999999999999,7.771200000000001,1.9200000000000002,1.33,2.0000000000000004,8.802266666666666,2.08,1.0675000000000001,2.22,9.716266666666668,1.8026666666666666,1.3265,1.8800000000000001,7.976826666666668
wheelbase_m_high,wheelbase_m,high,1.6268700000000003,1.6,1.4349999999999998,1.74,6.9068000000000005,1.6533333333333335,1.4175,1.8,7.364133333333334,1.76,1.3825,1.9400000000000002,8.159333333333334,1.9200000000000002,1.33,2.12,9.220533333333334,2.08,1.0675000000000001,2.3400000000000003,10.1632,1.8026666666666666,1.3265,1.9880000000000002,8.362800000000002
track_front_m_low,track_front_m,low,1.13948824281728,1.5466666666666666,1.4349999999999998,1.6800000000000002,6.625866666666665,1.6,1.4175,1.76,7.075866666666667,1.7066666666666668,1.3825,1.8800000000000001,7.834533333333334,1.866666666666667,1.33,2.06,8.939066666666669,2.08,1.0675000000000001,2.28,9.817866666666667,1.7600000000000002,1.3265,1.932,8.05864
