speed_mps,ay_mps2,ax_accel_mps2,ax_brake_mps2,accel_feasible,brake_feasible
5.000000000000000000e+00,-3.138128000000000029e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-3.085825866666666784e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-3.033523733333333183e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.981221599999999938e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.928919466666666693e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.876617333333333448e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.824315200000000203e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.772013066666666603e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.719710933333333358e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.667408800000000113e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.615106666666666513e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.562804533333333268e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.510502400000000023e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.458200266666666778e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.405898133333333533e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.353595999999999933e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.301293866666666688e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.248991733333333443e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
