Metric,Unit,OptimumLap,OpenLAP,OpenLAP_minus_OptimumLap,Difference_percent_of_OptimumLap
Lap time,s,58.76928709843806,58.459772032127205,-0.30951506631085834,-0.5266612572523182
Minimum speed,m/s,9.07219875488455,9.074748345631074,0.0025495907465238332,0.028103338731981724
Maximum speed,m/s,37.909980532139336,37.808386963710774,-0.10159356842856226,-0.267986337641174
Maximum lateral acceleration,m/s^2,20.44758845610827,20.3275480146896,-0.12004044141866999,-0.5870640524497183
Maximum longitudinal acceleration,m/s^2,8.314901455673997,8.222915592853724,-0.09198586282027321,-1.106277245865651
Maximum longitudinal deceleration,m/s^2,-26.253685969308588,-26.287240275964905,-0.03355430665631687,-0.12780798359340073
