stage,variant_id,c_rig_front,c_ic_front,d_front_m,inv_d_front_per_m,mr_front,k_w_front_n_per_m,k_s_front_n_per_m,ride_frequency_front_hz,toe_gain_front_deg_per_m,caster_range_front_deg,anti_pct_front_min,anti_pct_front_max,c_rig_rear,c_ic_rear,d_rear_m,inv_d_rear_per_m,mr_rear,k_w_rear_n_per_m,k_s_rear_n_per_m,ride_frequency_rear_hz,toe_gain_rear_deg_per_m,caster_range_rear_deg,anti_pct_rear_min,anti_pct_rear_max,avg_anti_dive_pct,avg_anti_roll_front_pct,avg_anti_roll_rear_pct,avg_anti_squat_pct,avg_lateral_jacking_coeff_front,avg_lateral_jacking_coeff_rear,avg_lltd_front_frac,avg_lltd_front_pct,avg_longitudinal_jacking_coeff_front,avg_longitudinal_jacking_coeff_rear,avg_motion_ratio_front,avg_motion_ratio_rear,avg_stabar_motion_ratio_front,avg_stabar_motion_ratio_rear
baseline,baseline,-0.00032501512370643854,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.33628327872616276,-0.02832189109518173,-0.0004131948174057242,-0.0007633883059545473,-268.74085913970765,-0.003721056795015081,1.7222068610063852,26708.402889682886,79217.02874615722,3.0,-0.0870397665298738,0.2107330415870474,0.003576152409966672,0.4243185060227699,0.19485321853921575,0.5313081301871205,0.7568965081978181,-0.220481939372118,0.0011077463745798833,0.001578084947792938,0.26314985331593704,26.314985331593704,0.000351645889002062,-0.0003978972898710593,1.0943731325702721,1.7222068610063852,0.07119718203997262,0.0545776736102792
anti-squat,rear00_as-20,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,-0.03648379403939842,-0.0368543695709553,-268.7408591397127,-0.0037210567950150112,1.6947758729383753,26708.402889682886,76713.61775660617,3.0,-0.1015043481603307,0.25330120895664393,-19.984905888413948,-19.56188001190088,0.19485321854185653,0.5313081301871405,0.7610467308042747,-20.207833312892248,0.0011077463745799243,0.0015867379191758194,0.2564966119589179,25.649661195891788,0.00035164588900682783,-0.03646848414098606,1.0943731325702721,1.6947758729383753,0.07119718203997262,0.05363858044557119
anti-squat,rear01_as-2,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,-0.003416828696284769,-0.0037687405692785588,-268.74085913967,-0.0037210567950156023,1.7198933014189202,26708.402889682886,79004.33627740415,3.0,-0.0882505043093553,0.21431714044453296,-1.6608143662662624,-1.240024629020059,0.19485321854185653,0.5313081301871405,0.7569254048003276,-1.8848487391841682,0.0011077463745799243,0.0015781451955189734,0.2625895761244795,26.258957612447947,0.00035164588900682783,-0.0034015312423050334,1.0943731325702721,1.7198933014189202,0.07119718203997262,0.05449849387683598
anti-squat,rear02_as+17,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,0.029649625734912918,0.0293168884323983,-268.74085913968986,-0.0037210567950153274,1.7456650294572842,26708.402889682886,81389.755263955,3.0,-0.07485821096132574,0.17447024337988853,16.66143907716841,17.083167393847585,0.19485321854185653,0.5313081301871405,0.7597769209237222,16.43786538549642,0.0011077463745799243,0.0015840904398475965,0.26882113071354785,26.882113071354784,0.00035164588900682783,0.029664933584947584,1.0943731325702721,1.7456650294572842,0.07119718203997262,0.055380257996580466
anti-squat,rear03_as+35,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,0.06271542114276901,0.062402517434075176,-268.74085913978513,-0.003721056795014009,1.7721192799019083,26708.402889682886,83875.24850815564,3.0,-0.0613292222656784,0.13377431825873493,34.98170892473662,35.40766265323715,0.19485321854185653,0.5313081301871405,0.7696003509517741,34.760224022719804,0.0011077463745799243,0.0016045717168716867,0.27519445936074627,27.519445936074625,0.00035164588900682783,0.06273075687441164,1.0943731325702721,1.7721192799019083,0.07119718203997262,0.05628479956892058
anti-squat,rear04_as+53,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,0.095780413286681,0.09548814643575161,-268.74085913962057,-0.003721056795016287,1.7992858750979175,26708.402889682886,86466.57569501949,3.0,-0.0476754716012067,0.09224265231861342,53.29984069983341,53.733437605141866,0.19485321854185653,0.5313081301871405,0.7863940219735361,53.08214359770006,0.0011077463745799243,0.0016395855386697675,0.28171286125489603,28.1712861254896,0.00035164588900682783,0.09579578780112197,1.0943731325702721,1.7992858750979175,0.07119718203997262,0.057213097353140306
anti-squat,rear05_as+72,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,0.12884446167323907,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.6156705831275,72.06047828240268,0.19485321854185653,0.5313081301871405,0.8101555296905805,71.40354182589891,0.0011077463745799243,0.0016891268924202516,0.28837974931828925,28.837974931828924,0.00035164588900682783,0.12885987786858555,1.0943731325702721,1.8271963558127964,0.07119718203997262,0.05816618585816712
anti-squat,rear06_as+90,-0.00032501512372644733,1.1483402154641483e-07,1157792.243503259,8.637128168817147e-07,1.0943731325702721,23808.9072670104,28514.79857941961,3.0000000000000004,0.1293101634347575,0.04629805323149025,-0.3362832787297611,-0.02832189109200673,0.16190742943733336,0.16165940443910526,-268.74085913968986,-0.0037210567950153274,1.855884110654515,26708.402889682886,91991.90784114526,3.0,-0.02009904902336629,0.0067228617864133955,89.92902500378617,90.38878001714427,0.19485321854185653,0.5313081301871405,0.8408817493967179,89.72433753748818,0.0011077463745799243,0.001753189263293499,0.29519864691122166,29.519864691122166,0.00035164588900682783,0.1619228805919939,1.0943731325702721,1.855884110654515,0.07119718203997262,0.05914515942092591
anti-dive,front00_ad-20,-0.0421129246063717,-0.042968349352827034,1157792.244124794,8.637128164180497e-07,1.0833158297080319,23808.9072670104,27941.495177856767,3.0000000000000004,0.13537708976939217,0.0694692413473656,-19.74947222941351,-19.51461018860173,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,23.349884309656087,0.5368096198160858,0.8101555296909375,71.40354182589964,0.0011192166586674404,0.0016891268924209954,0.2926570300910618,29.265703009106183,0.04213885142734662,0.1288598778685868,1.0833158297080319,1.8271963558127964,0.07045929383911886,0.05816618585816712
anti-dive,front01_ad-2,-0.0038061309312308633,-0.003580695779402176,1157792.242996435,8.637128172598053e-07,1.0934437792176719,23808.9072670104,28466.389000106665,3.0000000000000004,0.12981405988792985,0.04823625285784403,-1.9534451709676133,-1.6516413660829912,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,2.1237650209317325,0.5313448109549734,0.8101555296909375,71.40354182589964,0.0011078228518353536,0.0016891268924209954,0.2887353563031391,28.873535630313913,0.0038326964492337605,0.1288598778685868,1.0934437792176719,1.8271963558127964,0.07113516256460038,0.05816618585816712
