stage,variant_id,maneuver,speed_m_per_s,ax_g,dz_front_mm,dz_rear_mm,rh_front_m,rh_rear_m,downforce_n,aero_front_fraction,fz_front_n,fz_rear_n,sigma_fz_front_n,sigma_fz_rear_n,grip_n,rh_clamped,weight
baseline,baseline,braking,10.0,1.0,-12.05256772558594,10.987677379395045,0.05712212676907403,0.09303984152381764,149.02540647227733,0.5010224551401944,887.2880131251533,467.3487472620263,0.03494901301874082,0.008463050016819188,6800.313629120294,False,0.08333333333333333
baseline,baseline,braking,10.0,1.4,-16.873594815820315,15.382748331153062,0.05237788193600245,0.09742725837443433,146.40028940497407,0.4898761091779627,978.2225714291773,375.10163042435073,0.04892861822623715,0.011848270023546863,6616.835099500859,False,0.08333333333333333
baseline,baseline,braking,15.0,0.5,-6.02628386279297,5.493838689697522,0.06072234692758892,0.08539326516200918,332.693455747929,0.5043162019202012,818.3367084383908,628.1340765866147,0.01747450650937041,0.004231525008409594,7279.689539751445,False,0.08333333333333333
baseline,baseline,braking,15.0,1.0,-12.05256772558594,10.987677379395045,0.05465212102187338,0.09081782883297383,337.29395665448993,0.5024379721709804,934.6901214141546,514.0809140641312,0.03494901301874082,0.008463050016819188,7154.162718763366,False,0.08333333333333333
baseline,baseline,braking,15.0,1.4,-16.873594815820315,15.382748331153062,0.05028452148572858,0.09523158370500134,319.10451657993815,0.47653901398819853,1018.3964451961513,421.2798702448587,0.04892861822623715,0.011848270023546863,6949.639593894587,False,0.08333333333333333
baseline,baseline,braking,20.0,0.5,-6.02628386279297,5.493838689697522,0.0572776761206652,0.08232854942093014,593.8183279632887,0.5051994468859317,884.4437038540308,692.5895172786544,0.01747450650937041,0.004231525008409594,7743.2561937124365,False,0.08333333333333333
baseline,baseline,braking,20.0,1.0,-12.05256772558594,10.987677379395045,0.051495015369717415,0.08773037031446161,588.3380777307844,0.49401171663959104,995.2784274827613,579.0146685336717,0.03494901301874082,0.008463050016819188,7603.925614804919,False,0.08333333333333333
baseline,baseline,braking,20.0,1.4,-16.873594815820315,15.382748331153062,0.04766796926864311,0.0921887588927763,547.5235910737117,0.4611577387490839,1068.6109399367244,485.2749127511722,0.04892861822623715,0.011848270023546863,7374.4129155256105,False,0.08333333333333333
baseline,baseline,braking,25.0,0.5,-6.02628386279297,5.493838689697522,0.05310621515939591,0.07844968577111795,917.0844286751741,0.5017056887680985,964.4985959086279,774.16767558,0.01747450650937041,0.004231525008409594,8273.474748607696,False,0.08333333333333333
baseline,baseline,braking,25.0,1.0,-12.05256772558594,10.987677379395045,0.04803239300314504,0.0838253643665112,885.497025231641,0.478317714615622,1061.7299323145155,661.1426374523459,0.03494901301874082,0.008463050016819188,8105.626800672493,False,0.08333333333333333
baseline,baseline,braking,25.0,1.4,-16.873594815820315,15.382748331153062,0.04463383222549993,0.08830951975666462,827.1525095081653,0.4460502080351184,1126.8393438225028,566.8609680826208,0.04892861822623715,0.011848270023546863,7867.069525289322,False,0.08333333333333333
anti-squat,rear00_as-20,rwd_acceleration,10.0,0.3,3.611366628002821,-3.8090074055176446,0.07294534052596746,0.0783652308132608,137.77712345314202,0.497554179171104,583.9049627384645,765.1076561391475,0.0,1.3718899265180071,3807.7901780653137,False,0.08333333333333333
anti-squat,rear00_as-20,rwd_acceleration,10.0,0.6,7.222733256005642,-7.618014811035289,0.07663298986191054,0.07460746472783446,132.69386712140795,0.494549507170543,513.134943943739,833.3360467680059,0.0,2.7437798530360142,4039.0784005873966,False,0.08333333333333333
anti-squat,rear00_as-20,rwd_acceleration,10.0,0.9,10.834099884008463,-11.427022216552935,0.08032070218994733,0.0708508521890344,127.55967148044202,0.4914827006751653,442.3637162619318,901.5401766293301,0.0,4.115669779554022,4252.559248135201,False,0.08333333333333333
anti-squat,rear00_as-20,rwd_acceleration,15.0,0.3,3.611366628002821,-3.8090074055176446,0.07069091325205973,0.07629423712589892,311.4190011843839,0.49798318919037793,627.1698846464633,808.6636730967696,0.0,1.3718899265180071,3957.4942767119014,False,0.08333333333333333
anti-squat,rear00_as-20,rwd_acceleration,15.0,0.6,7.222733256005642,-7.618014811035289,0.07446845573766922,0.07259734291132688,300.3250009892446,0.4951410453765113,554.6747181202743,875.611839525389,0.0,2.7437798530360142,4173.501069290616,False,0.08333333333333333
