parallel_count,power_limit_kw,completed_target_distance,vehicle_mass_kg,nominal_pack_energy_kwh,model_full_charge_energy_kwh,model_usable_energy_kwh,lap_length_m,target_distance_m,elapsed_time_s,soc,terminal_energy_kwh,chemical_energy_kwh,remaining_usable_chemical_kwh,minimum_terminal_voltage_v,maximum_terminal_power_kw,distance_reached_m,search_status,search_evaluations
3,11.84375,True,245.79765114,4.212,4.294485,4.128345,1069.968773,22000.0,1404.9188856687529,0.1784399193381219,3.573301913573156,3.628891040138536,0.4994962430062597,436.37064711139067,11.843749999338945,22000.0,bracketed,18
4,19.96875,True,253.43515114,5.616,5.725980000000001,5.50446,1069.968773,22000.0,1306.2939686148634,0.147191867213496,4.908438082176798,5.004352948245256,0.5001743700158705,428.6511703532482,19.968749995503053,22000.0,bracketed,18
5,32.3046875,True,261.07265114,7.02,7.157475000000001,6.880574999999999,1069.968773,22000.0,1249.7064781496165,0.1279462723365503,6.23013218477289,6.381884150858213,0.4987890771761191,421.9597601008462,32.304687491096296,22000.0,bracketed,18
6,54.140625,True,268.71015114,8.424,8.58897,8.256689999999999,1069.968773,22000.0,1221.3994116737365,0.1151899529158805,7.531356420306249,7.758214224392645,0.4986086536453341,413.7070907567313,54.14062496095185,22000.0,bracketed,18
7,160.0,True,276.34765114,9.828,10.020465,9.632804999999998,1069.968773,22000.0,1216.87462804652,0.15737884230840216,8.37970055437994,8.66342660846218,0.9695261174724197,414.4501789541487,105.90161301286909,22000.0,target_not_bracketed,2
