parallel_count,power_limit_kw,completed_target_distance,vehicle_mass_kg,nominal_pack_energy_kwh,model_full_charge_energy_kwh,model_usable_energy_kwh,lap_length_m,target_distance_m,elapsed_time_s,soc,terminal_energy_kwh,chemical_energy_kwh,remaining_usable_chemical_kwh,minimum_terminal_voltage_v,maximum_terminal_power_kw,distance_reached_m,equivalent_average_lap_time_s,time_change_vs_baseline_pct,margin_error_kwh
3,11.082202660702864,True,245.79765114,4.212,4.294485,4.1283449999999995,1069.968773,22000.0,1418.6039020859707,0.1786540767107928,3.5757209749920156,3.6279963717196195,0.500353701282548,436.95957735876544,11.08220266167268,22000.0,68.99372165854265,12.79165898953063,0.00035370128254796906
4,18.60699753984326,True,253.43515114,5.616,5.725980000000001,5.50446,1069.968773,22000.0,1315.9702996985209,0.1464864701979109,4.918049027426007,5.008014082869551,0.4964539722472419,429.2879886718532,18.606997540655225,22000.0,64.00214213058494,4.631372482260909,-0.0035460277527580852
5,29.1466105216723,True,261.07265114,7.02,7.157475000000001,6.880574999999999,1069.968773,22000.0,1257.7205750805085,0.12669053400727334,6.250719058951231,6.390014168715016,0.4905724646506772,423.1845220783823,29.14661052061738,22000.0,61.16917002253392,0.0,-0.00942753534932278
6,46.14218910269471,True,268.71015114,8.424,8.58897,8.256689999999999,1069.968773,22000.0,1225.263701078984,0.1153513690317847,7.552839624871005,7.756835440669923,0.49987016148600816,416.88367753517696,46.14218910205326,22000.0,59.590631765678154,-2.5806108800793814,-0.00012983851399184232
7,160.0,True,276.34765114,9.828,10.020465,9.632804999999998,1069.968773,22000.0,1213.7237812046917,0.1113149111724025,8.786544829292502,9.086419093673626,0.5464060131949197,406.76315786754,105.94034750933515,22000.0,59.02938840620475,-3.4981374040891855,0.04640601319491966
