soc,vehicle_speed_mps,motor_speed_rpm,maximum_motor_torque_nm,maximum_wheel_force_n
0.05,0.0,0.0,219.99999998719431,3471.8581905069577
0.05,0.35044998613496414,54.16666666666667,219.99999998719431,3471.8581905069577
0.05,0.7008999722699283,108.33333333333334,219.99999998719431,3471.8581905069577
0.05,1.0513499584048924,162.5,219.99999998719431,3471.8581905069577
0.05,1.4017999445398566,216.66666666666669,219.99999998719431,3471.8581905069577
0.05,1.7522499306748207,270.83333333333337,219.99999998719431,3471.8581905069577
0.05,2.102699916809785,325.0,219.99999998719431,3471.8581905069577
0.05,2.453149902944749,379.16666666666674,219.99999998719431,3471.8581905069577
0.05,2.803599889079713,433.33333333333337,219.99999998719431,3471.8581905069577
0.05,3.1540498752146773,487.50000000000006,219.99999998719431,3471.8581905069577
0.05,3.5044998613496414,541.6666666666667,219.99999998719431,3471.8581905069577
0.05,3.8549498474846056,595.8333333333334,219.99999998719431,3471.8581905069577
0.05,4.20539983361957,650.0,211.3047471945174,3334.636896740862
0.05,4.555849819754534,704.1666666666667,199.55579080735333,3149.22457644514
0.05,4.906299805889498,758.3333333333335,188.86673555593006,2980.5387399651604
0.05,5.256749792024462,812.5000000000002,179.11758694332093,2826.6857333145845
0.05,5.607199778159426,866.6666666666667,170.2029135846533,2686.0017255064663
0.05,5.95764976429439,920.8333333333334,162.0302899973467,2557.028133955683
0.05,6.308099750429355,975.0000000000001,154.51878166291863,2438.487716976304
0.05,6.658549736564319,1029.1666666666667,147.59753067744896,2329.26225368605
0.05,7.008999722699283,1083.3333333333335,141.204470457742,2228.372260561114
0.05,7.359449708834247,1137.5,135.28517909464426,2134.9588960058227
0.05,7.709899694969211,1191.6666666666667,129.7918695223052,2048.268024038433
0.05,8.060349681104174,1245.8333333333335,124.68250805162825,1967.6363037145102
0.05,8.41079966723914,1300.0,119.9200496787671,1892.4791213975607
0.05,8.761249653374104,1354.166666666667,115.47177732456475,1822.280163181915
0.05,9.111699639509068,1408.3333333333335,111.3087324553635,1756.5824294208894
0.05,9.462149625644031,1462.4999999999998,107.4052250222303,1694.9805009926297
0.05,9.812599611778996,1516.666666666667,103.73841198743321,1637.1138879532707
0.05,10.163049597913961,1570.8333333333337,100.28793473145925,1582.6613073941412
0.05,10.513499584048924,1625.0000000000005,97.03560688882135,1531.3357571244435
0.05,10.863949570183888,1679.1666666666667,93.96514542866498,1482.8802718076238
0.05,11.214399556318853,1733.3333333333335,91.06193851330318,1437.0642594966146
0.05,11.564849542453818,1787.5000000000005,88.31284492276609,1393.680336317833
0.05,11.91529952858878,1841.6666666666667,85.70602038409561,1352.5415857436312
